GenotypeID,TotalGrainMassGrams_mean
11430,540.121945804041
1538,484.139425567898
2369,561.700032509007
29MIBZ2,634.699449293
2FACC,542.473410180691
2FADB,593.696717361154
2MA22,633.314176585313
2MCDB,465.582358676135
33-16,554.835395118226
38-11,432.238661369284
3IJI1,389.388550337535
4554_INBRED,636.511326317428
4578_INBRED,367.629767978383
4722,471.202642728785
4F-234_BX_4,342.855112984563
4N506,410.30533894745
52220,556.257651814238
6F629,429.403493313673
6M502,558.135032705264
6M502A,524.082789245818
764,503.644787573171
78551S,592.781970158717
787,614.583614221988
792,527.343775596943
793,610.959513275443
80-2,620.03832890333
87916W,396.535702025771
904,542.588919912204
911,561.48155881106
912,599.817735952018
91IFC2,566.970858321097
A,597.984686641426
A12,406.099783758807
A15,413.649878984462
A155,407.839811666934
A239,440.236221562418
A258,454.107452865583
A305,358.858116677756
A321,430.276399135123
A322,432.563061933463
A334,433.431195016186
A340,456.267012875367
A344,433.624296039195
A374,456.712319149972
A3G-3-3-1-313,488.043225613125
A401,397.23563332316
A415-1-3_INBRED,465.180603266031
A427,422.07578806824
A508,497.519998022502
A548,450.943939682491
A554,447.862112423706
A556,500.409879652284
A572,456.452656807222
A619,417.525252787939
A627,510.794824972076
A632,455.550251750311
A634,501.304096584627
A635,546.687042270113
A648,552.269023598522
A649,479.812022515839
A651,502.183485270073
A654,384.684079272339
A659,470.275449770104
A661,434.392541767686
A662,451.230420047607
A663,468.880921570586
A672,406.785748432166
A673,523.098230169113
A674,442.438593396112
A679,417.563361231936
A680,601.1013983281
A682,623.090268227888
A71,585.8202485759
A73,449.004547104902
A797NW,476.972454656545
A96,437.069452202548
AM0776,465.550222477124
AQA3,522.329940797225
AS6103,471.176852757631
AusTRCF_306238,580.026763982296
B-18_INBR.FR.SUPERGOLD,584.281409079156
B-28,357.541976574398
B10,242.571203456197
B101,473.015978442252
B104,438.694571473834
B105,531.075892704057
B106,547.825383870995
B107,457.128009346742
B108,529.676759027962
B109,460.564893719426
B14,592.644841574286
B14A,569.491865437538
B164,520.420472609816
B37,437.448636074531
B42,596.470280109622
