GenotypeID,StandCount_mean,EarHeightP1_mean,EarHeightP2_mean,EarLeafP1_mean,EarLeafP2_mean,FlagLeafP1_mean,FlagLeafP2_mean,Ear.percent.to.Flag.P1_mean,Ear.percent.to.Flag.P2_mean,LargestLeafLengthP1_mean,LargestLeafNumberP1_mean,LargestLeafWidthP1_mean,Number.of.leaves.largest.to.ear_mean,TasselHeightP1_mean,TasselHeightP2_mean,FlagHeightP1_mean,FlagHeightP2_mean,TasselLengthP1_mean,TasselLengthP2_mean,Weight.of.Dried.Leaf.Disks..mg._mean,Number.of.disks_mean,Specific.Leaf.Weight..mg.disc._mean,Number.of.ears_mean,Total.Weight.of.kernels..g._mean,Anthesisday_mean,DaysToPollen_mean,DaysToSilk_mean,RootLodgingPct_mean,StalkLodgingPct_mean,PoorGerm_mean,PotentialPollenContamination_mean,EarsPerPlant_mean,CobWeightGrams_mean,HundredKernelMassGrams_mean,EarLengthCM_mean,EarWidthCM_mean,EarFilledLengthCM_mean,KernelRowNumber_mean,KernelsPerRow_mean,PercentFill_mean,LeafLengthCM_mean,LeafWidthCM_mean,PlantHeightCM_mean,ExtantLeafNumber1_mean,NodesWithBraceRoots_mean,TillersPerPlant_mean,ExtantLeafNumber2_mean,BranchesPerTassel_mean,TasselLengthCM_mean,BranchZoneLengthCM_mean,TasselSpikeLengthCM_mean,TotalGrainMassGrams_mean
11430,40.3991785284012,83.6826151949035,79.3087114554438,13.1072130384665,12.6221857696883,18.292674913504,17.7867516925809,0.706773183945821,0.705366097438207,76.9971354081425,11.4782917947555,8.1249895283549,-1.49753674681602,211.827180269715,211.543430481312,172.157856678585,169.833846728367,39.2062487511557,41.0201764950153,56.8643659419047,5.95002152941759,9.58957856647406,3.94879592992521,315.813585368855,60.7766593676031,70.1891752844805,71.9433886033714,18.0992060058959,7.51580937977442,1.82566670114959e-11,0.0702967221791639,1.00663753444985,12.4242433798893,25.5040929918164,13.1878300355392,3.67021487160156,12.1750976783806,13.6119969745412,23.5106730817625,92.7318592594322,76.8176850416901,8.37674901060871,169.96378669275,12.0522370845148,1.41035251364911,0.0294328958196798,14.0436461832809,7.24107459171788,32.9699442315219,8.75805730755985,24.522339403803,531.944024286999
1538,40.3144977336426,80.1432968534824,81.419202489927,12.7315732317808,12.7551796850912,18.5235124026661,18.5904352318153,0.699825634559661,0.693253802613524,76.6414664674593,12.4447582118056,7.67348890493117,-0.54188148053617,212.796744512989,210.968751493013,175.060461615167,174.840195194257,37.2761420420077,36.3582392195754,57.4619200247129,5.9886318481874,9.65370793680935,3.99697769244912,254.795871223166,59.7160233116177,67.3504479533927,68.6259258243691,20.9324269753476,20.9840703532279,-2.0110371701243e-12,0.0701344705529531,1.018488624103,11.6142279780318,23.5269526176729,12.7406168471792,3.81976115319235,11.9940737134012,13.8980761012158,23.8612665193304,93.3027553050452,73.8120131190594,7.21383819862607,173.835153626864,12.1870968374495,1.28942315190884,0.0525237847674916,14.507478845986,8.32302988999497,32.357183254518,8.79166712622297,23.465317687867,498.146688472539
2369,40.8293474145794,83.6073212383247,88.2933302251815,13.0393940321291,13.6754458203075,18.5485420387574,19.0738797983116,0.699979072261714,0.711186196988743,74.0055713340273,12.3286788389932,7.98163101556388,-0.67777702047923,203.196323668511,201.118460896341,166.202554993119,166.027128748244,36.6421187488924,35.6909126235929,57.6386054536632,6.03740122894569,9.62712027696674,4.0021262391542,279.094397312225,61.4973853962813,71.4948894721857,73.6380966903915,8.49581580734776,2.91149621261466,1.40234213130697e-11,0.0701006703643899,1.04678235703503,14.7773394786297,23.7697121736568,14.5279291936918,3.91019526785633,12.9728320561948,14.1561882861283,25.7065326420627,89.6509436509256,73.78727309809,8.12278847574563,174.710510536046,12.6715198792705,1.22750109681617,0.00761086550547928,13.9027724975716,6.27435389279751,30.1933162825153,7.18397927346005,22.4894054287695,631.216472057389
29MIBZ2,40.3942611957752,86.6105224306767,77.9897313958511,13.0173779357854,12.5316186583152,18.4131906656637,17.967567312244,0.69920914408031,0.698988042949801,77.8926754255546,11.8292381122701,7.99038892302348,-1.13545537426048,207.338421409641,204.590624281976,169.930445462831,164.727150418894,37.2736513990127,39.0897755930959,57.6090837507464,5.71500148153686,9.80529213844461,3.95094427633382,284.615108618999,59.7580639835563,68.953546271987,70.8560294704424,11.1623320100378,3.76240774694744,-1.97955471459288e-11,0.0699232773352473,0.994667235545911,15.0433265866837,23.9093502078375,13.8592274889497,3.85297966893537,12.7642437418716,14.6637815499812,26.0875509597425,92.1245597341942,78.0539159231434,8.29504483219902,174.03457612204,11.9673987367964,1.58143141787406,0.0147896505784188,14.096665526507,6.93390481438509,30.0060198732978,8.23910596716842,21.6691212397935,635.61946700972
2FACC,40.476081360999,82.9949435231401,88.7324275480533,13.1854421660132,13.4867568449593,18.990816585123,18.9756044149401,0.701537427734241,0.70854301789327,74.5581211859061,11.7409731205393,8.0668650734265,-1.2645938087728,194.022807624843,196.63228745365,160.290600598324,162.480337605833,33.9518130851672,34.8624881424934,58.1354282183723,5.95828176577316,9.77704980133385,3.81159770314795,270.916851992597,61.6453608795154,69.9468771331546,71.7021192412787,24.7651508872534,2.5268364565002,-4.39488723191772e-13,0.0701731865581951,1.01144616303988,13.9943288900721,25.8458207851784,13.4344592164749,3.82772101022619,12.1797879099716,14.1688588614499,23.1708972549432,91.4119930865622,75.2240954540006,8.20073848748573,169.292153895586,12.6165280951822,1.29885265238412,0.0170405987712835,13.8505309769721,9.34121906045209,30.2859853553083,9.64041986717106,20.2068379323567,572.154950683379
2FADB,40.8054707533367,76.8392096838912,78.6948560009197,12.7448729936072,12.8707988928463,19.0459872977695,18.9774881928881,0.681230208174668,0.680716015546421,76.2916818349968,12.4230064961563,7.76857480730212,-0.473471496666972,196.947320539998,200.507790883355,161.500748963654,163.387870484971,35.6045952950384,37.3893724538421,56.7880205308206,5.95952770293924,9.56729000157282,3.96450179924616,276.562193302339,62.6054142650905,71.4614902272292,73.8893323318337,46.1907665430103,2.61880889025739,1.68723021665151e-12,0.0699119891361861,1.02599791738205,13.6763648653213,26.2437110940424,12.4865201096034,4.09801052416226,11.5840093106929,14.9491943426125,23.737779532398,92.6548432602908,78.2038305678801,8.26301345029281,176.121741044866,12.6442664057249,1.50642634977282,0.0150820729514178,14.2729893597778,6.14796925842725,30.0197118709609,7.3290647959037,22.178383855881,631.591525092476
2MA22,40.8553025897997,75.6214019655404,75.0215375512368,12.4539793413696,12.4721526151446,18.6365201574026,18.4730901485602,0.681461823769484,0.680541932024909,77.9415075138137,12.3100252718151,7.80430560811155,-0.356827920607493,199.134173519809,201.097608683845,162.064165093973,162.736742930174,36.9154750155796,38.0837428259862,57.1122155395836,5.99857413586297,9.59265626461514,3.98313420832468,280.026833854396,62.4390786972587,71.4741016421872,75.7182475123997,42.9113318361286,5.70922283892912,-1.60767232859627e-11,0.0699132979617276,1.02442460651963,13.2692247694682,26.0790111504215,12.5596302561414,4.05478024975644,11.4525256783799,14.8480098411199,23.5311566374985,91.4150195272728,80.1735685524275,8.0985642593334,177.27667825877,12.3905539539928,1.4866575743328,0.014686367316906,14.1617498173125,5.83619010913306,30.2256071540494,7.50273642350496,22.3823123789151,617.1355764339
2MCDB,39.9593788238499,78.6348104859515,75.876159149818,12.2630108602742,12.3729416431553,19.1996545997838,18.7482161354173,0.663990973403741,0.675811878381327,78.8259690077278,11.6587231373125,8.3413295517135,-0.823188480698287,225.870472036589,216.111096839091,188.499771697409,177.742127213042,37.1432737018287,38.622014736244,57.6705668445634,6.02147378243581,9.64331362304577,3.58575866681185,251.323808229494,62.4193001272886,70.4574639400061,71.8541212481586,22.3929604518728,27.724550080105,-4.91389220980132e-12,0.0702736318009305,1.01143320437716,13.2815797397639,24.0848391614793,13.8281168190527,3.69668382605773,12.0823060799058,13.2736059429412,24.4398596000122,88.1119452799485,77.6280604884857,8.33028062739778,184.434232786198,11.67547700636,1.25321399103222,0.0185290875150575,14.3987095268511,10.8268002453051,32.4865904888337,9.01225398704758,23.4241166778827,528.460106478917
33-16,40.0311572239782,89.5844378239203,77.4119961041417,13.1640054359495,12.7679581670988,20.0328101219582,19.3372361057029,0.665695386236166,0.680088174151463,78.3283157351385,11.8675661596996,8.41117394640421,-1.25511507480067,222.934128508862,204.430926202878,184.483895794987,166.356449260584,37.9509783812495,37.8565306911145,57.2714227274093,6.00884330264043,9.5975392075914,2.95612599016534,208.585987471506,67.137151033771,74.5336707383457,77.9333892250092,18.9028175804289,12.5463441238334,-4.0677183843485e-12,0.0702470871931515,0.982058092796356,12.5036620391504,24.6899482018422,13.2516354016819,3.61120930579838,11.5633898345353,12.7238952374136,23.4696009556154,87.9350504504388,77.13566629217,8.37936003666681,185.387787518907,12.7473499656712,1.26382423684568,0.0190758644399711,14.0422468413989,13.4920000778967,32.6696264109133,9.52123591863307,23.4221016956093,465.337839835623
38-11,40.2030602769779,111.888406213498,110.393384441756,14.9572081721648,15.0873685019763,20.5626560207258,20.3353136160516,0.72431691906943,0.731464989426437,85.3537414945857,13.052280648034,7.56909471776654,-1.82236994402341,218.175662856183,202.218695568617,179.8109202575,169.512502274768,37.5811288633409,33.6887827605852,57.5740639307823,6.02129492327928,9.64317805756503,3.81459325610463,206.397401621597,69.1218326435583,80.1582310341601,84.1891388472805,51.6507166144831,19.2430317570922,1.81249806829875e-12,0.0700697296409949,1.02318520563893,14.0436086572796,24.2494162769049,12.9533327679868,3.50028762634201,9.84973042712831,11.9997350825802,18.3282208767751,79.1221469855005,86.7244141723196,7.72036623703682,204.13581680659,14.6212149345571,1.49275041952844,0.0338722522965767,15.205182628512,13.8477992171635,33.7370915926897,11.6902824601269,22.9946390976317,425.968289665864
3IJI1,40.1332889752919,94.5641843137617,102.170344204615,13.9891643656849,14.4622744613792,19.1112676755557,19.3503869083824,0.721996444314649,0.736324574072165,79.9908037860609,12.6673739344076,8.51384986551159,-1.37185264857789,211.820142105536,207.451728617667,173.67882221313,170.145869246754,37.9839705215196,36.6829754006154,57.5695041826105,5.96485623158112,9.66868662285544,3.82406631597616,270.217049553922,60.1746637555517,71.0871642824759,73.3895005928521,33.0084998090034,7.03953116397207,7.81879422317999e-12,0.0701601826375647,0.993533270632806,14.8744269673144,22.2085187237741,14.0326228077902,3.86052891480352,12.7273794712967,14.6865667081368,23.5940861285315,90.2338484679067,80.4083866119505,8.60302576603006,173.829275780646,12.642283640136,1.42654036944821,0.01902566458892,14.1321607087888,8.3616886310119,34.5765187513496,10.7461380054712,24.4998431537029,514.63454044198
4554_INBRED,40.1924816799642,72.2255137442423,71.7731799039424,11.4083148419064,11.7804584824378,16.4927130760665,16.5049399572566,0.696621971554054,0.714294302632903,69.4993430740477,10.8350664128595,8.11854946020706,-0.794698212998934,183.294125092048,179.341687960941,149.769047985033,144.4586513989,34.1032484617937,34.7037338074074,57.7453622583926,5.75666967303368,9.79429859247081,4.00101965845269,254.809190207657,55.2204517383132,65.1718769545227,66.3655475457857,25.9183355599822,-1.48025798323147,9.60186791187922e-13,0.0702047429290196,1.00257500217166,13.8444892113861,23.8207159649976,13.5310615462001,3.70079985451639,12.5299369535237,13.513364635548,24.2030173400827,92.4874786062931,68.1224608000097,8.19432651625208,146.768178681274,10.8440460364198,1.14068229443719,0.0116406389738024,13.1168116111763,11.0779191781816,30.4895812975143,9.36628609571872,20.4776818828098,538.677249560664
