GenotypeID,TotalGrainMassGrams_mean
11430,532.861759716776
1538,498.44577406469
2369,633.355466807529
29MIBZ2,634.742112504421
2FACC,570.533635358358
2FADB,629.456058345865
2MA22,614.699732708159
2MCDB,529.15725404258
33-16,465.642971988427
38-11,425.433579733233
3IJI1,515.411175061634
4554_INBRED,538.186988911128
4578_INBRED,410.768044300561
4722,369.476116878312
4F-234_BX_4,380.834638183673
4N506,524.257367223738
52220,491.062493114254
6F629,466.174116714407
6M502,619.380724858337
6M502A,514.058367146833
764,482.61344125992
78551S,646.229064677383
787,644.345508929274
792,551.309782493242
793,605.309704913849
80-2,587.837189560447
87916W,462.444321617587
904,552.075614410575
911,550.847718995117
912,585.229577893302
91IFC2,567.267336434134
A,497.217319850995
A12,426.275357555813
A15,365.122826920054
A155,411.26286837756
A239,496.506468024865
A258,467.896331906038
A305,427.728140307878
A321,504.002224641955
A322,506.718481117571
A334,457.915118303905
A340,440.755317010132
A344,391.321356672788
A374,455.743844418135
A3G-3-3-1-313,430.886591287965
A401,456.01686145219
A415-1-3_INBRED,389.172074042498
A427,320.637608981055
A508,455.921382728301
A548,455.874031732606
A554,482.149551980187
A556,499.247031969506
A572,490.546901753445
A619,483.602468080742
A627,573.247421865443
A632,518.646187224783
A634,478.548539118555
A635,511.661891275649
A648,544.598151713215
A649,477.036825613206
A651,438.660821921321
A654,403.057201907733
A659,506.034156447699
A661,468.195929798268
A662,456.430920571487
A663,445.879499448464
A672,473.76630141325
A673,486.104207396763
A674,454.769241225423
A679,567.550230142635
A680,588.959024196809
A682,629.365518203766
A71,580.901456382712
A73,509.094426938318
A797NW,394.258589110165
A96,419.61903402157
AM0776,502.744186424015
AQA3,539.044471426446
AS6103,533.62686859027
AusTRCF_306238,605.789306334327
B-18_INBR.FR.SUPERGOLD,477.412526896288
B-28,330.762183493037
B10,369.494292622535
B101,415.316123619615
B104,467.457640351105
B105,514.062120507195
B106,539.311717605563
B107,501.72383815688
B108,508.893762668767
B109,566.069844295363
B14,560.333232165731
B14A,541.5196039931
B164,539.797567594343
B37,444.473660953639
B42,557.869417442604
B46,433.564205178621
B52,398.677989419152
B57,533.070999375821
B64,405.873552221821
B65,493.883410081335
B66,561.056429587089
B68,447.909993625275
B7,489.771413345875
B73,594.094585040312
B73Htrhm,632.099364366607
B75,615.978191324225
B76,497.067573241693
B77,464.016015613007
B79,455.864370590402
B8,596.218737272801
B84,457.457891109642
B85,583.999977268755
B87,483.75989994258
B88,360.783998332492
B90,492.302305197747
B91,411.248980773519
B97,548.171721934369
B99,462.623822111485
Bei_10_=_North_10,494.626238218744
C102,477.19894091447
C103,452.049367651907
C123,544.035422107893
C15,437.133073336801
C49A,307.946348339646
C68,399.52065571982
CA-4,227.138617253898
CG10,434.866425711658
CH157,539.069056517093
CH701-30,487.294824942169
CH711-10,628.310092043926
CH753-4,539.216394554421
Chi-tan_120,519.17345027777
CI_187-2,445.796742393157
CI_21E,435.970957121134
CI_28A,408.31555484078
CI_3A,408.708056533992
CI_40H,568.495245069711
CI_540,320.542127769579
CI_91B,614.518608264591
CL17,351.483508120868
CM105,455.53384566286
CM37,437.270735821309
CM7,373.134046413016
CM99,381.058470340663
CML_108,382.34001459167
CML_154Q,469.518386240181
CML_218,313.823293035119
CML_220,377.444831982317
CML_228,522.387333486439
CML_322,467.809138927572
CML_323,339.122942184473
CML_91,368.784926660428
CO106,376.175169295567
CO117,333.300973054463
CO125,329.609300822815
CO158,419.2762591857
CO192,433.560780745561
CO245,400.738742230694
CO255,433.133973358455
CO256,290.072442989376
CO257,352.010277090283
CO258,497.799181992148
CQ702RC,527.848091831375
CQ806,597.847802871437
CR14,527.28595891514
CR1HT,559.465530429991
CS405,569.203735141227
CS608,567.462024406984
CSJ3,461.596707012874
DE1,514.392058285249
DE2,603.471833579598
DE3,575.956537113318
DE4,611.365333214127
DE811,539.026222018192
DJ7,594.170122755122
DK3IBZ2,622.176133474144
DK3IIH6,550.081198088624
DK4676A,569.668339942797
DK6F545,556.240805595648
DK78002A,590.921421226257
DK78010,567.092008329616
DK78371A,588.200442522934
DK83IBI3,618.933357121326
DK84BRQ4,540.972261787035
DK84QAB1,576.641390751676
DK8F196,590.236586837947
DK8M116,605.387723577523
DK8M129,596.531635392812
DKF274,541.507701211619
DKFBHJ,589.860293696766
DKHBA1,569.708262634937
DKIB014,546.599843579018
DKIB02,555.55613390797
DKMBNA,531.765414087876
DKMBUB,623.183067985349
DKMBZA,573.890762966644
DKMFD-13D,594.178555617254
DKMM402A,513.71950919499
DKNL001,590.307750725978
DKPB80,622.827736211267
DKWDAD1,655.78783522905
E8501,509.630360272573
Eng-Li_Chih,479.317970825128
EP1,342.665124461013
F115,370.532163554081
F118,572.977494807377
F2834T,444.236041046372
F42,633.718524799964
F7,292.260516596252
FBLA,567.965327216039
FBLL,613.48398649065
Fe,438.16791097282
FR19,504.63731779881
G22_T122,278.724064662993
G3_T5a,273.154073571786
GE129,354.182632492389
GE54,425.31106321126
H105W,486.204683925151
H110,392.320155009639
H113,362.674136285508
H114,504.659835783442
H121,482.469876571684
H122w,585.014073224196
H124w,454.440374216513
H14,415.292475836837
H49,541.910041264965
H5,493.069910678634
H52,360.299048146555
H71,420.174612117906
H84,582.311027395525
H91,527.771968401109
H95,431.886818039679
H99,452.065595362878
HB8229,476.476532237202
Hi26,335.780151245604
HP301,306.067116467565
HP72-11,328.591217783265
Huanyao,502.134558573554
Huobai,557.910549845379
Hy,482.687218247685
I29,349.318585931145
IA2132,313.400758878651
Ia453,332.367144016772
Ia5125B,392.534700164116
IBB14,628.737399438697
IBB15,584.483043526483
IBC2,591.151436778499
ICI_193,568.740934383885
ICI_441,668.363040237515
ICI_581,569.729745347512
ICI_740,672.473650903465
ICI_893,609.576791552376
ICI_986,557.441129268393
IDS28,290.630071193846
IDS69,300.373372538367
IDS91,318.152948821626
Il14H,343.583635932051
Il778d,355.80871469675
INB_101LFY/LFY_(A632_X_M16_S5),430.435302401085
INBRED_100,464.352649738108
INBRED_109,422.789519355795
INBRED_141,522.158174061786
INBRED_2-687,381.127203175807
INBRED_305,364.703294700281
INBRED_309,395.660025696566
INBRED_321,367.05149098263
J47,475.342052385904
J8606,634.626368976745
K148,344.663271081008
K150,497.26893932143
K155,492.868324833467
K201,546.194576442427
K4,359.336638407681
K41,429.855203275892
K47,350.38674229632
K55,490.401335999338
K64,506.142703770674
KO679Y,506.536330219597
KUNG-70,431.456711106729
Ky226,383.162499205423
Ky228,431.439104992689
L_127,517.047982705327
L_135,584.92963156655
L_139,609.388251267032
L_155,540.146812392413
L_289,494.998475563143
L222,520.561513759564
L317,433.891233740062
LH1,548.842026283845
LH119,701.722023001874
LH123HT,604.593826258976
LH127,598.75567802023
LH128,610.395520642046
LH132,711.776970652358
LH143_(Maintainer),495.834320642751
LH145,451.940639315677
LH146Ht,524.27578734467
LH149,619.079130652508
LH150,594.339001618488
LH156,519.858938529643
LH159,449.067224493785
LH160,440.703028657329
LH162,501.24750478414
LH163,488.765072748495
LH164,526.813884635667
LH165,564.167227098418
LH166,558.823338594121
LH167,600.522911783444
LH169Ht,523.528609333879
LH172,535.541014672429
LH175,531.235702133302
LH181,666.627059708901
LH183,566.371405027297
LH184,532.083496076694
LH186,626.47170997443
LH188,628.862862388205
LH189Ht,631.378104533055
LH190,577.396127452467
LH191,729.364983996478
LH192,636.553976048668
LH193,676.953700443653
LH194,616.074508354368
LH195,661.724684295538
LH196,706.07796818362
LH197,694.627440217152
LH198,717.918835891127
LH199,668.942878785487
LH200,672.746445065592
LH202,615.208421135989
LH204,577.211762274974
LH205,640.641397063271
LH206,586.344654476452
LH208,517.587161508523
LH210,541.53477750793
LH211,581.748932026806
LH212Ht,583.32277530775
LH213,659.656074305146
LH214,653.479894611723
LH215,477.72448682768
LH216,678.813364232467
LH217,560.459161905011
LH218,701.052605029379
LH220Ht,506.630746896888
LH222,531.70708282171
LH223,475.907239041423
LH224,540.833904468442
LH225,456.889305909909
LH231,697.18655519661
LH250,598.09916710679
LH252,508.699092496894
LH260,516.58208540668
LH284,605.129529625632
LH299,536.124677935733
LH38,605.122717884103
LH39,571.283247649769
LH51,639.237890048801
LH52,591.813273037428
LH54,620.659825925307
LH57,601.901040127822
LH59,662.226112849871
LH60,576.391537092668
LH61,596.156220059121
LH74,586.340360279066
LH82,523.87912414741
LH93,482.770307962881
LIBC_4,581.556654143655
LP1_NR_Ht,516.582120517717
Lp215D,605.282797900481
LP5,604.387198714166
M14,449.076158850904
M162W,464.522797947345
M37W,348.825748438888
MBPM,524.267201969098
MBST,620.279394829151
MBWZ,639.756307519989
MEF156-55-2,243.141207513299
MM501D,599.484004035811
Mo13,381.512161514321
Mo15W,414.820923747049
Mo16W,368.064179253542
Mo17,647.512568203393
Mo1W,550.277921150319
Mo23W,363.094099562514
Mo24W,487.218144110749
Mo28W,404.846902189998
Mo3,442.962687863585
Mo39,502.049979925322
Mo44,455.923790542823
Mo45,466.953446638945
Mo46,465.028507736999
Mo47,455.068752766064
MoG,423.327520910626
MQ305,583.575030058386
MS106,445.830764778319
MS116,337.505332446025
MS132,449.81338406425
MS1334,434.626328615237
