GenotypeID DaysToPollen_mean DaysToSilk_mean RootLodgingPct_mean StalkLodgingPct_mean LeafAngle_mean PoorGerm_mean PotentialPollenContamination_mean EarsPerPlant_mean CobWeightGrams_mean HundredKernelMassGrams_mean GrainPercentMoisture_mean EarLengthCM_mean EarWidthCM_mean EarFilledLengthCM_mean KernelRowNumber_mean KernelsPerRow_mean PercentFill_mean SouthernRustSeverityScore_mean LeafAreaIndex_mean LeafLengthCM_mean LeafWidthCM_mean PlantHeightCM_mean ExtantLeafNumber1_mean NodesWithBraceRoots_mean TillersPerPlant_mean ExtantLeafNumber2_mean BranchesPerTassel_mean TasselLengthCM_mean BranchZoneLengthCM_mean TasselSpikeLengthCM_mean TotalGrainMassGrams_mean
11430 73.1964971436301 74.9122032183628 26.1770196979652 14.3944333115143 30.9302013089088 0.00471686895135046 0.0952159192001014 1.00778574208406 13.5734283712382 23.9446733667147 8.33828705457759 13.7098842598104 3.66724940325437 12.5654164840282 13.6321488253415 24.098736522052 90.8719957508805 1.67977411857154 3.56843378517009 76.2318297223922 8.25675175149986 173.048676029091 12.4762005884529 1.31206346564386 0.00388173590179736 14.1749712007906 10.027319112169 37.25 11.2 26.05 554.45
1538 72.6004864595021 75.1415465735154 27.9122109673819 16.327400322552 30.5613157089601 0.00949981383079576 0.0644009569782116 1.01088291502693 13.4277950176774 23.3843819633351 8.31071201484135 13.3181299920565 3.71791731767208 12.1463623187442 13.7464553706178 23.7928859898742 90.9210527617876 1.99775510164346 3.60749288791789 76.4651448316108 8.19731059593217 173.063566646897 12.6903298415544 1.32227701667255 0.0160479183949266 14.3155921634019 10.1470854279885 32.685 7.35 25.33 500.6
2369 71.8403762638251 74.3659578783552 24.2307042812782 11.2764594578043 30.4806788885641 0.00945664209396766 0.0629943422072246 0.976172352342755 13.9822719251531 23.5111677066252 8.3105232473525 13.9112521893486 3.73040607720249 12.4902725785321 13.7460474090039 24.3240552677188 90.917728930815 2.12705416273308 3.60583859134127 75.642157197623 8.24325807361147 174.32048686562 12.7249244021384 1.32208284614544 0.0147629797154308 14.2977365062846 9.55302660362191 26.32 6 20.315 794.6
29MIBZ2 72.6177090830854 74.6620840877509 28.6727149642725 15.0455319783095 30.0289513089596 0.0196409072250789 0.0748652947469847 0.995941254472895 13.7307923430485 24.948988551864 8.3403031245642 14.0423909976447 3.74904509533919 12.9081720055712 13.6682699989432 24.6427785358254 91.1877126350851 1.74558285485475 3.56642588428312 77.0061526420501 8.26211795817746 174.259089776855 12.5513148858583 1.34546723166438 0.0105037733451242 14.2046171231206 8.08550944474989 31.5 9.285 22.22 608.25
2FACC 73.407353976602 75.6205442451451 22.3794728312644 15.0496940578199 30.7394632724346 0.00769879177941044 0.0291817898285352 1.0082953492186 13.5180878294509 23.7563512320008 8.2869153387816 13.7552538992131 3.78301963694789 12.5821673935723 13.6885141652284 24.4026504014935 90.9789933265273 1.99740675933326 3.62964555221753 75.259050919329 8.20063548573 173.533638516044 12.7739595681376 1.32830096913791 0.021402295676033 14.4129127056335 9.10162943126849 27.835 6.465 21.37 605.85
2FADB 70.788718815721 73.5972793166712 29.9622363727588 11.7280056414869 30.4577073361441 0.00950637518321421 0.0655956987177701 1.0118959877677 14.2920700410938 24.2856121896072 8.31052156312585 13.7811055338295 3.78083718089286 12.7122013217275 13.7453576094265 25.1072612232779 90.9282993514864 1.93711317550878 3.54295678615346 76.4747547113472 8.20788160119804 173.782049365873 12.3926990382341 1.32243080135482 0.0112247789278888 14.1495232057821 7.58583881133668 25.52 6.115 19.4 711.7
2MA22 71.9135895608087 73.8671191127898 32.600402275122 15.1886229663577 30.6544410472798 0.00777480623559436 0.0747329181368641 1.0083273498921 14.5193282651186 23.7645287282437 8.26164184251937 13.9435951727884 3.87063246418501 12.8856336800853 13.6883001102957 25.2009780943642 91.3599622788007 1.93148425232615 3.63741925990978 76.0622620859277 8.19911366058945 175.066203534881 12.7953885826641 1.32884188676735 0.0115376796347819 14.397584324289 8.60259860437608 33.48 7.65 25.835 633.9
2MCDB 73.0976436300152 75.9071429454607 24.5507545158638 15.3496095439398 30.4373472813153 0.00693137770822495 0.0705924176549746 1.00528379352557 13.7895066778423 24.1328533426313 8.28071494709535 13.179394466967 3.72339368054778 11.902405293727 13.7362637998053 23.22094156915 91.1086868171522 1.83726037961321 3.54324651684368 76.2947355613596 8.20254771962796 175.424518913461 12.7857335140772 1.30118541234951 0.0186338236781094 14.2463153521623 10.5200481741764 31.88 7.7 24.185 594.1
33-16 71.0723972650993 73.2902198572336 29.9803308648747 17.0581136603693 30.8056099007398 0.00776087500062134 0.0923170791697513 1.0083535771515 13.654341582981 23.7593364004191 8.30323982918 13.5952918074887 3.70535629237348 12.1489311070913 13.6894723604901 23.907371772791 90.741659468609 1.9229245056199 3.56105309848868 76.4767126854595 8.19971401407117 174.330725359585 12.4389376594096 1.32877748697282 0.0185464634361356 14.443370490979 10.7178915963109 33.6 11.6 22 318
38-11 72.4282842001693 75.078819032337 29.5809779569172 18.2540346400859 30.5420788494482 0.00952786040313035 0.0653942384583903 0.98837030224556 13.1194219106592 23.4972402117754 8.31085585646571 13.0060393424542 3.68659761218261 11.8301476649224 13.7461129104274 23.218333344778 90.9193098027091 1.99540952364985 3.58579351928045 76.5880667111826 8.22143697757825 173.796601177308 12.7189737241291 1.32239891575794 0.0160337021115347 14.4017084011352 11.421778016808 38.25 12.55 25.7 381.45
