GenotypeID,DaysToPollen_mean,DaysToSilk_mean,RootLodgingPct_mean,StalkLodgingPct_mean,PoorGerm_mean,PotentialPollenContamination_mean,EarsPerPlant_mean,CobWeightGrams_mean,HundredKernelMassGrams_mean,EarLengthCM_mean,EarWidthCM_mean,EarFilledLengthCM_mean,KernelRowNumber_mean,KernelsPerRow_mean,PercentFill_mean,LeafLengthCM_mean,LeafWidthCM_mean,PlantHeightCM_mean,ExtantLeafNumber1_mean,NodesWithBraceRoots_mean,TillersPerPlant_mean,ExtantLeafNumber2_mean,BranchesPerTassel_mean,TasselLengthCM_mean,BranchZoneLengthCM_mean,TasselSpikeLengthCM_mean,TotalGrainMassGrams_mean,Total.Weight.of.kernels..g._mean
11430,70.1891751034362,71.9433887330752,18.0992057223074,7.51580799498073,1.82460643816107e-11,0.0702967221791639,1.00663753420749,12.4242433423579,25.5040930235043,13.1878301596479,3.67021486485379,12.1750977040018,13.6119968903438,23.5106727603522,92.7318592532233,76.8176850578963,8.37674898887388,169.963786794752,12.0522370896939,1.41035251871614,0.0294328953905842,14.0436461878846,7.24107459438112,32.9699442378344,8.75805731903383,24.5223394033941,531.94402471836,399.35
1538,67.3504476225999,68.6259261210013,20.9324265989477,20.9840711402003,-2.01757707762873e-12,0.0701344705529531,1.01848862344901,11.6142279127461,23.5269526374358,12.740616897999,3.8197611216812,11.9940737091584,13.8980760832849,23.8612665321441,93.3027553579482,73.8120130973703,7.21383831351682,173.835153583263,12.1870968473126,1.28942314542438,0.0525237828460918,14.5074788430641,8.32302979990771,32.3571832633064,8.79166711485103,23.4653176439304,498.146689013834,286.9
2369,71.4948897680677,73.6380964636556,8.49581561142121,2.91149610295114,1.4022602523589e-11,0.0701006703643899,1.0467823621385,14.7773395433195,23.7697121631196,14.5279290460855,3.91019524478055,12.9728320327155,14.156188253931,25.7065328955488,89.6509436339506,73.7872730825833,8.12278845081886,174.710510786929,12.6715198625047,1.22750109631151,0.00761086574448237,13.9027724799644,6.27435384897791,30.1933162565103,7.18397926375264,22.4894054477897,631.216476145146,349.95
29MIBZ2,68.9535458594741,70.8560297432989,11.1623318780448,3.76240702098683,-1.98030272735572e-11,0.0699232773352473,0.99466723393953,15.0433265830166,23.9093501993512,13.8592274045564,3.85297968059976,12.7642437260174,14.66378156469,26.0875510535121,92.1245597294679,78.0539159141865,8.29504481693528,174.034575929602,11.9673987574867,1.58143142050588,0.0147896506298088,14.0966655429018,6.93390484913365,30.0060198587015,8.23910597026378,21.6691212588053,635.619467236417,290.5
2FACC,69.9468772713572,71.7021192442257,24.7651514117629,2.52683639866495,-4.28872215518794e-13,0.0701731865581951,1.01144616327414,13.9943288999245,25.8458208263545,13.4344593022971,3.82772101087755,12.1797879286875,14.1688588225088,23.1708970594892,91.4119930819231,75.2240954527187,8.20073849947048,169.292154059564,12.6165280787153,1.29885266249637,0.0170405984330181,13.8505309614887,9.34121898291018,30.2859853240977,9.64041986247995,20.2068379922215,572.154950474782,311.05
2FADB,71.4614901259769,73.8893324386173,46.1907674426061,2.61880789993457,1.68700123315269e-12,0.0699119891361861,1.02599791927125,13.6763648513258,26.2437111461534,12.4865202884161,4.09801048972258,11.5840093332764,14.9491943367761,23.7377794016381,92.6548432946628,78.2038305621643,8.26301343576252,176.12174107582,12.6442664026831,1.50642635292298,0.0150820729218934,14.2729893616803,6.14796925213459,30.0197118410921,7.32906478914518,22.1783838937186,631.591527755781,261.05
2MA22,71.4741014899856,75.718247458116,42.9113326052465,5.70922231766606,-1.60763971579492e-11,0.0699132979617276,1.0244246082675,13.2692247315617,26.07901119458,12.5596304274976,4.05478022563102,11.4525257076978,14.8480098394027,23.5311564771632,91.4150195331603,80.1735685737668,8.09856427407458,177.276678295522,12.3905539633345,1.48665757634889,0.0146863673031402,14.1617498261999,5.83619008137902,30.2256071316271,7.50273642018425,22.3823124034833,617.135578161255,282.3
2MCDB,70.4574636255763,71.8541215481057,22.3929600962953,27.7245531948058,-4.92242704930312e-12,0.0702736318009305,1.0114332052457,13.2815796786933,24.0848391618449,13.8281167466074,3.696683833156,12.0823060851783,13.2736060005793,24.4398597054917,88.1119452147996,77.6280604725958,8.33028065119001,184.434232853536,11.6754770237048,1.25321398541807,0.0185290875397204,14.3987095262214,10.8268002303486,32.4865904889133,9.01225398465237,23.4241166779553,528.46010712716,315
33-16,74.5336710224083,77.9333889276997,18.9028171268337,12.5463434488087,-4.07592015694291e-12,0.0702470871931515,0.982058087730376,12.5036619638044,24.6899482278005,13.2516355253983,3.61120932115068,11.563389870956,12.7238953356719,23.4696007629381,87.9350503915623,77.1356662915752,8.37936003069134,185.387787696032,12.7473499556218,1.26382423481237,0.0190758644726529,14.0422468544469,13.4920001778146,32.6696264191082,9.52123592880777,23.4221017048511,465.337836504762,92.8
38-11,80.1582314358867,84.1891385281804,51.6507170115959,19.2430319896223,1.81043027791539e-12,0.0700697296409949,1.02318520814755,14.0436087048582,24.2494163102608,12.9533327455862,3.50028764764742,9.8497304926758,11.999735232167,18.3282200998807,79.1221467342367,86.7244142508275,7.72036629662023,204.135817217992,14.6212149171843,1.49275043983727,0.0338722515438193,15.2051826101356,13.8477991604974,33.7370916400654,11.6902824762994,22.9946390546592,425.968288514316,252.25
3IJI1,71.0871637572779,73.3895010507519,33.0084994836398,7.03952941236372,7.81493966761637e-12,0.0701601826375647,0.993533270475999,14.8744270128082,22.2085187100045,14.0326227393278,3.86052888018567,12.7273794480829,14.6865666335962,23.5940863072997,90.2338484925961,80.4083865648189,8.60302573207688,173.829275479101,12.6422836603605,1.42654036910772,0.0190256645587737,14.1321607300792,8.36168848504011,34.5765188070597,10.7461380035999,24.4998430664013,514.63454501982,316.35
4554_INBRED,65.1718765724343,66.3655478921166,25.9183362224344,-1.48025822002784,9.55655693468671e-13,0.0702047429290196,1.00257500220824,13.8444891600065,23.8207159601802,13.531061680262,3.70079988614345,12.5299369740133,13.5133647160279,24.2030171757305,92.4874786260101,68.1224607012846,8.19432653943004,146.768178301738,10.8440460565536,1.1406822887375,0.0116406389859548,13.1168116336175,11.0779191676784,30.4895812600204,9.36628608754015,20.4776819575825,538.67724617284,149.75
4578_INBRED,73.3920861820712,74.5039404227998,27.637111859158,45.3352372501352,-9.22838194750142e-13,0.0701045697056464,1.00238086595957,12.0583811410333,20.8500336687386,13.9468315645362,3.44315612887527,13.1694513994797,12.2951313429968,25.0955696190356,92.9935330004415,67.5364906693285,7.30464937562567,161.831634385901,13.6897946920502,1.22367141433894,0.0194728965557282,14.957002001728,13.9608535893942,31.8924221186805,11.124558653679,21.2594211406058,410.265186974222,289.15
4722,79.7243258691018,82.1271210115508,56.4353541574516,6.09536185952017,-1.17726765835879e-11,0.0702072345687043,1.00289635735181,13.0491369400079,20.0488646388327,13.6647900575088,3.41456926489391,12.7551377239554,13.2798841983059,23.907301623767,92.7456516938417,79.6113961104559,8.82501580389789,174.054860973753,13.599760515372,1.53162705108404,0.0206166971643496,14.454360550901,12.8053851755868,32.0761514967965,10.9632615405264,21.371033333799,369.527880850293,155.15
4F-234_BX_4,75.8351348077313,77.5024730120658,63.6403621245181,12.2994277975863,-2.91447074807216e-12,0.0702904007729685,0.936439126112791,11.2658692285129,18.0277155172822,13.2776541895763,3.50064545856679,12.1003185363276,13.8763283512864,27.0590454021126,90.1128978210156,76.4379227443421,8.17526724612308,181.268053896155,12.0799799833649,1.08077617043271,0.0933676578905683,15.0531583891105,21.1422361603013,33.3062852282497,11.8355313146231,21.6796002850042,380.531105389881,247.95
4N506,75.0703485423473,76.2045048439068,67.8578092578296,34.7805080007348,3.07878722516364e-12,0.0701105128483103,1.01626704184922,13.7641109641695,23.0056288217701,13.0611136487732,3.70308471008673,11.9942682160056,13.8279107453717,24.1443528511295,91.3300172767689,77.0473712680273,7.80271884664124,195.446718807134,14.8429068135888,1.61728352713909,0.0197797455346091,16.265533315681,7.06561863083866,30.9205660308553,9.36381940907122,20.9743881965009,524.038749891505,285.1
