GenotypeID,EarHeight_MImean,EarLeaf_MImean,LeafNumber_MImean,EarPcttoFlag_MImean,LargestLeafLength_MImean,LargestLeafWidth_MImean,LargestLeafNumber_MImean,NumberofLeavesLargesttoEar_MImean,TasselHeight_MImean,PlantHeight_MImean,WeightofDriedLeafDIsksMG_MImean,NumberofDisks_MImean,SpecificLeafWeightMG_MImean,Moisture_MImean,DaysToPollen_MImean,Yield_MImean,SeedsNumber_MImean
11430,83.75,13.25,18.25,0.725877192982456,82.3,8.05,12,-1.5,227.75,182.75,49.2,6,8.2,8.15,60,798.7,50
1538,74,12,18,0.666666666666667,76.5,7.3,12.5,0.5,220,182.75,58.4,6,9.73333333333333,8.95,58.5,573.8,53
2369,108.25,14.25,19.75,0.721710526315789,72.95,8.7,14,0,226,190.25,55.65,6,9.275,8.8,64,699.9,53
29MIBZ2,79.5,12.25,16.75,0.731107026143791,78.65,8.3,11,-2,193.75,155,50.95,5,10.3291666666667,7.3,56,581,53
2FACC,87,14.25,21,0.678571428571429,NA,NA,13,-1,202.75,170.25,49.95,6,8.325,8.7,63.5,622.1,49
2FADB,91.5,13.75,20.75,0.6625,71.3,7.3,13,-0.5,203.25,173.75,53.4,6,8.9,8.3,62.5,522.1,53
2MA22,52.25,10.5,16.25,0.646139705882353,81.25,8,11.5,1,200.5,156.75,60.7,6,10.1166666666666,8.05,60,564.6,53
2MCDB,64.25,11.75,18.75,0.62719298245614,79.15,7.95,11.5,0,234.25,199.5,57.25,6,9.54166666666665,7.85,60,630,53
33-16,110,14,20.5,0.666666666666667,80,9,12,-2,216.5,176,54.9,6,9.15,5.6,70,185.6,53
38-11,130.75,15.75,20.75,0.758928571428571,95.45,7.15,13.5,-2.5,225.5,191.75,54.4,6,9.06666666666667,7,70.5,504.5,53
3IJI1,89.25,13.25,17.5,0.757352941176471,69.8,10.1,12,-1,196,156.75,63.4,6,10.5666666666667,6.5,55.5,632.7,53
4554_INBRED,52,9.5,14,0.678571428571428,56.65,7.6,9,0,155.75,126,47.85,5,9.84583333333333,9.2,51,299.5,53
4578_INBRED,83.5,15.5,20.75,0.747023809523809,72.35,7.45,12.5,-3.5,179,141,63.95,6,10.6583333333333,9.45,62.5,578.3,53
4722,113.5,15,20,0.75,89.5,8.65,13,-2,229.5,189.5,51,5.5,9.27666666666667,8.7,71.5,310.3,53
4F-234_BX_4,126.75,16.5,21.25,0.776515151515152,70.95,8.5,15,-2,213,186,64.05,6,10.675,8.65,64.5,495.9,53
4F-306_108,94.75,16,20,0.801002506265664,63.45,7.35,14,-2,191.75,155.25,42.7,4,10.6,8.9,61,260.5,50
4N506,108.75,15.25,22,0.693181818181818,69.65,7.2,13,-2.5,223,185,64.45,6,10.7416666666667,8.5,65.5,570.2,53
52220,41.5,17.25,22.75,0.75740542066629,56.75,8.25,15.5,-1,108.75,78.25,52.1,6,8.68333333333333,5.85,68,295.5,53
6F629,96.75,13,18.75,0.693713450292397,74.75,8.85,12,NA,209.25,174,56.05,6,9.34166666666667,7.8,62.5,418.4,49
6M502,78.75,13.25,18,0.736111111111111,76.35,10.15,12.5,-0.5,194.75,154.25,55.3,6,9.21666666666665,9.9,68.5,503,53
6M502A,77.5,12.75,18,0.708333333333333,82,10.15,11.5,-2,194.5,155.25,58.9,6,9.81666666666665,8.85,66,654.1,53
764,65.5,12.75,18,0.708333333333333,65.5,7.65,12,-1,174.25,141.75,68.5,6,11.4166666666667,9.05,57.5,415.3,53
78551S,72.75,12,18,0.666666666666667,78.45,8.75,11,-1,212.75,164.5,71.3,6,11.8833333333334,7.5,59.5,575,49
787,94.5,13,22,0.591520798042537,82.5,9.35,13,0,254,223.25,57.8,6,9.63333333333335,10,70,576.2,53
792,90,15.25,21.25,0.717207792207792,79.9,7.8,14,-1.5,193.25,158.5,59.7,6,9.94999999999999,8.9,61,608.7,53
793,84,14,20.25,0.691071428571429,77,8.05,13,-0.5,201.75,167.25,55.3,6,9.21666666666667,NA,61.5,591,53
80-2,67.5,11,17,0.648182189542484,60.9,5.55,10,-1,179.25,153.5,68.45,6,11.4083333333333,6.95,55,385.9,53
87916W,80,13.75,20.25,0.679166666666667,65.9,7.3,13,-0.5,177.75,154.25,54.8,6,9.13333333333333,8.95,65,358.1,53
904,56.5,11.25,17,0.662071078431373,71.95,7.8,11,-0.5,198.25,159.75,56.55,6,9.425,7.9,55,596.5,50
911,56.25,13,18.75,0.692543859649123,59.5,7.85,12.5,-0.5,162.5,132.25,63.45,6,10.575,9.9,56.5,550.9,53
912,51.75,11.75,16.25,0.723345588235294,66.6,8.55,11.5,-0.5,168.5,129,69.45,6,11.575,8.25,55,683.5,53
91IFC2,94.5,12.25,16,0.765625,61.2,7.5,11,-1.5,206,166,60.25,6,10.0416666666667,7.85,57,490.3,53
A,76.25,15.75,23.5,0.677536231884058,NA,NA,NA,NA,196.75,173,48.95,6,8.15833333333333,6.35,68,216.3,53
