GenotypeID,StandCount_mean,EarHeightP1_mean,EarHeightP2_mean,EarLeafP1_mean,EarLeafP2_mean,FlagLeafP1_mean,FlagLeafP2_mean,Ear.percent.to.Flag.P1_mean,Ear.percent.to.Flag.P2_mean,LargestLeafLengthP1_mean,LargestLeafNumberP1_mean,LargestLeafWidthP1_mean,Number.of.leaves.largest.to.ear_mean,TasselHeightP1_mean,TasselHeightP2_mean,FlagHeightP1_mean,FlagHeightP2_mean,TasselLengthP1_mean,TasselLengthP2_mean,Weight.of.Dried.Leaf.Disks..mg._mean,Number.of.disks_mean,Specific.Leaf.Weight..mg.disc._mean,Number.of.ears_mean,Total.Weight.of.kernels..g._mean,Anthesisday_mean,DaysToPollen_mean,DaysToSilk_mean,RootLodgingPct_mean,StalkLodgingPct_mean,PoorGerm_mean,PotentialPollenContamination_mean,EarsPerPlant_mean,CobWeightGrams_mean,HundredKernelMassGrams_mean,EarLengthCM_mean,EarWidthCM_mean,EarFilledLengthCM_mean,KernelRowNumber_mean,KernelsPerRow_mean,PercentFill_mean,LeafLengthCM_mean,LeafWidthCM_mean,PlantHeightCM_mean,ExtantLeafNumber1_mean,NodesWithBraceRoots_mean,TillersPerPlant_mean,ExtantLeafNumber2_mean,BranchesPerTassel_mean,TasselLengthCM_mean,BranchZoneLengthCM_mean,TasselSpikeLengthCM_mean,TotalGrainMassGrams_mean
11430,40.0822097942655,79.0392851412079,76.819188544797,12.4617199467323,12.0453793422547,17.6914988342511,17.3599234605725,0.700581629556125,0.694907068591256,71.7638854534848,10.7370014945022,8.14746510514475,-1.5702152315767,199.040919983127,196.964362111113,161.885886798892,158.436775982812,37.2024928992116,38.4439652866479,57.7999809235819,5.94500172070384,9.72727083291877,3.81831485022429,273.204646198738,61.4766000916019,71.866049530778,73.4125163215037,22.5504586747821,16.3468217822597,0.0352130642992778,0.103376217739663,1.00825007637623,13.443697103689,24.5572964035347,13.7208999705342,3.66709186998975,12.7807934283719,12.7784240937511,25.1177693756758,93.2401816030802,73.7267690745237,8.17278222443562,160.084394885719,12.2690009153093,1.26863671597182,0.0517006649712338,14.1873157964316,6.52122881764574,31.7504212888975,7.28344645882656,24.1201429363434,540.121945804041
1538,40.0577065677421,85.4055254912905,86.0532652102256,13.6544187405869,13.6744097452846,19.1366993428295,19.2151037674043,0.711210603409039,0.709624767439408,77.0590882139107,12.3285762838208,7.82780760344266,-1.41534461301853,202.954762614153,201.783362567053,165.762190276624,164.073716368528,36.8944346936342,37.1516862467333,57.8310157406831,5.98164937859058,9.6971682296746,3.97641845366899,226.942658312254,63.3666346315507,72.3489662428167,75.2579540078678,30.9721344470308,14.7185303733213,-0.00913129433318053,0.0678301141624243,1.02855443908852,12.5344701947594,22.7477551746527,12.8864641207733,3.59630498261851,11.8748766470522,13.6817762547333,23.7159831221783,91.5186973586137,76.6500872405521,8.02842302230024,175.980958858103,12.8660938688802,1.42502432687661,0.0166479334443181,14.3897052994171,12.5530148284632,32.3846900317965,9.9103347563855,22.6943616354081,484.139425567898
2369,40.729099904677,73.6944408971041,74.394847558748,12.5876755195476,13.4306391082491,18.1912925932152,18.9260774375021,0.694992736114043,0.70412060298984,74.9337508760036,11.5016242839279,7.70827359543659,-1.07052139105713,192.751748530128,191.66681522434,156.131710665239,156.015163245693,36.6330773253605,35.7983024866302,57.8316393248906,6.05328183675,9.65452526463655,3.98650464887923,243.2635372504,58.2996649637988,67.3287196516617,69.0674489266808,8.78946229999942,5.30202793614804,0.00612907247652579,0.0678623258704159,1.02568992147275,13.2751563783888,24.2540220781529,13.7878501444329,3.78821628667212,12.3832225842385,13.8858558306689,24.2857936620454,90.1384796629679,75.157423904722,7.89922316060916,162.763251021671,11.6888269755301,1.33517902225838,0.0145754920356312,13.2054429615669,7.57782137823362,31.1344114266304,7.67227628076834,23.1760125780665,561.700032509007
29MIBZ2,40.31850775535,87.5574899771101,86.3852786553746,13.262209544921,13.2000128654127,19.2604661686892,19.2510886554446,0.68992428767501,0.688785296760734,79.5287125108495,12.6154543317223,8.04096755851816,-0.648575646184888,216.459188438908,215.082872073734,178.567938790908,175.484171979459,37.6346419927921,39.1622700216957,58.2377023691085,5.95769717910765,9.77423171292304,3.94873559109751,285.298351707618,65.2202434790329,74.7097599380127,76.4355716403665,13.5740680738429,9.94074149742928,-0.0171796654340945,0.0747582632080129,1.00719952250246,15.3397919725091,24.0745960899457,13.6973661841112,3.90784696737268,12.448608948615,14.8999384651125,25.836919512935,91.0476126172503,81.4282841452653,8.35505041508126,191.403487712199,13.331285151618,1.67150673445861,0.013244723104754,14.7873791640855,5.93344658685464,30.0948868681458,8.2310028481016,21.701253691307,634.699449293
2FACC,40.6726086339605,82.2275533928966,83.4466852165978,12.5809237118397,12.7753703504872,17.7421146965392,17.8270575175915,0.705122184007622,0.710679387762802,72.952330378763,10.9158546304201,8.04447775770123,-1.44792526904037,189.969195329012,189.78517049152,155.904803828391,154.831296741795,34.0996297864519,35.1480171665629,57.7492298708796,5.93259452842871,9.70871990077975,3.63448974954611,251.819679878155,58.7452585826559,68.3911847436364,71.6324481949918,11.7662930447157,3.23591525716501,0.00775005903133908,0.0687963756117724,1.00967776552154,13.0962398526473,24.6458550456498,13.8069298412799,3.74271117092244,12.3386325255402,13.6421395131393,22.7962049064441,90.0131670042859,74.7260703250663,8.28690292647029,160.924902779949,12.0555835042133,1.10847512774843,0.0123816676116091,13.4348650550153,12.2634998624728,30.589649795075,10.8152160909451,19.8262431349643,542.473410180691
2FADB,40.6841404175474,69.9511688380709,68.7495113283104,12.213860375961,12.0914284711848,18.1043619109062,17.5994960856886,0.685803387265223,0.691850315152325,78.9203578440423,12.0993113746887,7.87191510540423,-0.411472586932303,197.085944964855,196.423852125929,157.391619645554,155.422152509462,39.4501674024693,40.0332292376649,57.8287321455579,5.96509308440804,9.66178328278509,3.94687651626543,285.324882005678,62.1621667528975,71.7589178339061,75.8013257779587,30.1214063297332,-0.761161406115175,-0.00127239391876206,0.0676980178747515,1.03816108351163,12.8389760805497,24.8305027986431,12.5550325393524,3.97803093952095,11.4654095212989,15.1562099371333,24.0644252859962,91.1506618332532,79.4597655773467,8.08415036721226,170.468063396033,11.7953626920151,1.49897406903747,0.016610789229592,13.8042153713848,5.49062859411887,30.8228299169171,7.85235569941996,22.7631109023189,593.696717361154
2MA22,40.6131214437053,86.6281088329103,88.4123435802807,13.5124215343891,13.6456148522397,20.0708795764074,20.0644400523952,0.687736668116341,0.683330473992875,75.8300219359669,12.7193932539161,7.48210928057303,-0.817323609769724,195.29814992564,199.467224886401,162.107618537633,164.932228175496,32.8508202134037,35.3550416576743,57.7446557303658,5.98334706470641,9.70777832021088,3.98350605892418,269.469492990846,63.6924134068338,72.3939545128882,73.8111573946748,28.7684304652601,10.9587535396161,-0.0089144228564169,0.0685350565884062,1.00771543864876,13.9314941790616,26.5682610707854,12.972644066791,4.17831518063514,12.0452223525204,14.7742446153172,23.5456113650497,93.777091934534,79.0374353506071,8.17974626276299,184.019100681874,13.8007488245014,1.48185925586837,0.014611198759969,14.9964633179997,6.54984016501971,29.7225448499219,7.39481006462476,21.5240311823345,633.314176585313
2MCDB,40.1355306634761,95.0382146986286,85.0820246206547,13.2085177146745,12.792616470752,19.345520807091,19.0044182855726,0.689105122489213,0.692368873763326,78.9217634553961,11.8455526283775,8.436184265987,-1.46254325938083,214.207709153994,204.07944983331,175.127561178885,164.602661185832,38.4284403306543,39.0654801933827,57.8036425446254,6.02197219500595,9.7203648906924,3.47910452270712,209.5813285687,67.3221458239204,75.293843868566,77.969287422707,35.531909914606,3.29112116552465,-0.00659879058781222,0.0659751583312872,0.984981371580889,13.8018615778501,24.7172535428078,13.096600727523,3.69249614702592,11.7604583267125,13.4896020357997,22.827574440343,89.9852701676621,80.0916019049213,8.55386927028302,180.953731502162,12.7866944849403,1.31902452369995,0.0203749900354719,14.0310577438358,11.9767042376999,32.5179581941043,9.31412862994661,23.2838222464114,465.582358676135
33-16,40.0198775940731,70.0183112144848,72.3117980237689,12.1625875062389,12.2952341654564,18.9836590986727,18.652221219022,0.66396484740613,0.668770292663283,76.585405999778,11.7502376802806,8.24341337468964,-0.666827582777356,213.662790946859,209.40142676182,177.367966607034,172.742014102026,35.778468946008,37.1589964784839,57.7463151042814,5.98836539400426,9.70791125488058,3.9567474587176,273.351045127885,61.3845645788862,69.668769438889,71.4415345226822,29.6693750021079,24.7425995195205,0.00253753169222667,0.0687993163462531,1.01466179883736,13.4783144717852,23.3688889726014,14.5688599217184,3.62504445103701,12.7389435953033,13.5268233073467,25.3310154988224,86.6354551111329,75.8077605113257,8.31068758454838,176.898894751477,11.5709325840307,1.23492911153154,0.0162795933217961,14.5676367277827,9.72764431580294,32.3991401176646,8.54527796554726,23.8032863256119,554.835395118226
38-11,40.0371765820568,84.9100121941445,82.5009753693179,13.7920654419203,13.651457396246,19.5759327060013,19.3932720102139,0.705152772935197,0.704968749749444,76.705614130119,12.6469396672231,7.91240641076741,-1.25630308780688,196.048675535758,190.359457781432,160.068590433163,155.717116475175,35.8558823635561,34.6381737657609,57.8328069743843,6.03918087191038,9.78172530944718,3.84978404081081,193.546099796822,63.869406071865,72.3460160015088,76.5121575561509,34.0788138221325,13.2510741674943,0.0109795861408391,0.0677860538775331,1.03496441861846,12.9663672931406,22.93812645116,12.7020968925694,3.60879109913789,11.5051948170602,13.4270573287065,22.4203582490219,90.3254999007842,77.9679464800052,8.12521562902163,171.966480468764,13.1039725818034,1.30761669442547,0.0166364257587282,14.3958331409407,13.6237704111287,32.3868349295788,10.5032380804847,22.1658269818086,432.238661369284
