GenotypeID,DaysToPollen_NEmean,DaysToSilk_NEmean,RootLodgingPct_NEmean,StalkLodgingPct_NEmean,LeafAngle_NEmean,PoorGerm_NEmean,PotentialPollenContamination_NEmean,EarsPerPlant_NEmean,CobWeightGrams_NEmean,HundredKernelMassGrams_NEmean,GrainPercentMoisture_NEmean,EarLengthCM_NEmean,EarWidthCM_NEmean,EarFilledLengthCM_NEmean,KernelRowNumber_NEmean,KernelsPerRow_NEmean,PercentFill_NEmean,SouthernRustSeverityScore_NEmean,LeafAreaIndex_NEmean,LeafLengthCM_NEmean,LeafWidthCM_NEmean,PlantHeightCM_NEmean,NodesWithBraceRoots_NEmean,TillersPerPlant_NEmean,BranchesPerTassel_NEmean,TasselLengthCM_NEmean,BranchZoneLengthCM_NEmean,TasselSpikeLengthCM_NEmean,TotalGrainMassGrams_NEmean,LeafNumber_NEmean
11430,69,71,5,0,NA,0,0,1,11.57,29.84,7.6,12.54,3.79,11.54,15,20.5,92.2,1.5,3.47,78.25,8.575,179.75,1.665,0,7.67,37.25,11.2,26.05,554.45,12.7075
1538,65.5,66.5,0,25,NA,0,0,1,9.615,25.645,7.9,12.335,4.08,12,14,23.75,97.25,2.25,3.7,72.25,6.425,170,1,0.335,6.67,32.685,7.35,25.33,500.6,13.125
2369,74.5,76.5,0,2,22.45,0,0,1.125,18.305,22.445,8.1,16.375,4.21,14.625,14.665,30.33,89.3,1.75,3.94,73.75,8.35,198,1,0,5.5,26.32,6,20.315,794.6,14.6675
29MIBZ2,65,67.5,0,0,NA,0,0,1,13.25,22.345,7.25,14.5,3.585,13.71,14,26.58,94.4,2.75,4.355,75.875,8.375,153,1.5,0,8.67,31.5,9.285,22.22,608.25,11.8325
2FACC,71,71.5,70,0,31.15,0,0,1,15.385,29.845,8.05,11.525,4.02,10.875,16.045,22.625,94.4,3.25,4.04,74.5,8,184.5,2,0,7.335,27.835,6.465,21.37,605.85,14.1675
2FADB,71,72,100,0,34.15,0,0,1,15.89,33.695,8.1,11.545,4.46,11.335,14.08,21.5,98,2,3.98,75.875,8.35,186,1.415,0,6.665,25.52,6.115,19.4,711.7,14.5
2MA22,69.5,76.5,90,0,28.8,0,0,1.0625,11.415,27.715,8.45,11.875,3.96,10.5,13.83,22.58,88.5,2.75,3.27,83.75,7.475,171.75,1.165,0,4.67,33.48,7.65,25.835,633.9,11.875
2MCDB,68,69,0,50,30.25,0,0.5,1.0625,11.095,23.075,8.75,14.915,3.625,12.335,12.665,26.665,82.5,1.75,NA,75.875,8.125,186.75,1,0,10,31.88,7.7,24.185,594.1,12.7075
33-16,77,81,0,0,25.4,0,0,0.875,10.36,28.37,NA,11.17,3.5,9.67,11.17,19.5,86.6,1,3.16,77.25,8.5,193.5,1.33,0,15.67,33.6,11.6,22,318,13.415
38-11,82.5,86.5,75,25,34.85,0,0,1.0625,14.26,26.02,NA,13.165,3.29,7.415,9.585,11.585,56.25,2.25,NA,91.875,7.075,222.5,2.165,0.165,12.17,38.25,12.55,25.7,381.45,15.54
3IJI1,67,69,0,0,30.3,0,0,1,16.54,23.325,8.6,14.25,4.25,13.79,15.915,27.5,96.75,2.75,3.85,74.375,8.825,149.75,0.5,0,5.165,35.9,8.68,27.215,713.5,12.335
4554_INBRED,62,63,100,0,NA,0,0,1,6.94,22.63,NA,9.75,3.08,9.25,11.17,15.83,94.9,NA,3.24,56,7.8,117,0.33,0,11.33,21.33,7.6,13.73,263.9,10.75
4578_INBRED,75,75.5,0,55,47.65,0,0,1,13.62,20.225,NA,16.25,3.46,15.665,11.58,32.085,96.4,1.5,4.835,65,6.625,168,1.165,0,14.33,34.97,12.75,22.215,482.3,15.46
4722,82.5,84.5,100,0,32.35,0,0,1,14.005,11.555,NA,14.875,3.205,14.045,14,25.58,94.3,3,4.565,82.5,9.325,183,2.165,0,13.5,31.5,12.7,18.8,275.05,14.4575
4F-234_BX_4,76,77,100,0,33.3,0,1,0.75,13.97,20.49,NA,13.08,4.33,12.58,16.33,31.17,96.2,NA,NA,74.75,8.6,191,0.67,0.67,23,32.17,11.73,20.43,460.7,13.415
4N506,74.5,75,100,45,42,0,0,1,16.96,23.79,8.4,14.42,3.835,13.415,14.08,29,92.8,2,4.3,76.75,7.375,203.5,2,0,4.5,28.45,7.265,21.18,675.65,16.335
52220,76.5,77.5,47.5,50,23.45,0,0,1,9.51,31.005,NA,13.46,3.585,11.46,9.5,23.83,85.05,2,3.285,59.875,7.325,109.5,1,0,9.835,30.635,9.735,20.9,377.95,14.25
6F629,74,77,0,10,37.7,0,0,1,10.22,25.415,NA,13.5,3.04,11.75,12.415,22.25,87.1,3.75,3.715,73.75,9.125,177,2.165,0,6.665,32.885,7.8,25.085,476.8,12.875
6M502,76.5,77,0,5,33.05,0,1,1,16.375,23.955,8.75,16.33,3.705,15.92,14.92,29.665,97.45,1.25,4.745,81.5,9.75,170,1.5,0,14,39.4,10.065,29.335,716.15,12.71
6M502A,74.5,78.5,0,0.5,29.45,0,0.5,1,15.515,22.565,8.5,13.955,3.92,13.205,15.5,22.92,94.55,1,4.795,78.875,9.625,166.25,1.835,0,10.5,39.285,10.315,28.97,514.2,12.5425
764,68,71,0,1,29.05,0,0,1,11.295,25.685,NA,10.455,3.455,9.75,14.75,18.25,93.2,2.75,2.29,61.625,7.5,147.25,1.33,0,6,25.635,4.68,20.95,454.75,12.5
78551S,70.5,71,0,0,53.5,0,0,1,18.75,31.455,8.7,18.625,4.375,16.795,12.33,31,90.15,0.5,NA,81.575,8.875,185.5,1.5,0,7.5,38.765,9.85,28.92,771.65,12.9575
787,78.5,80,50,0,15.25,0,0,1,15.88,24.295,7.5,13.165,3.875,11.5,15,24.33,86.85,0,3.46,81.375,9.2,192.5,2,0,0.665,33.885,0.135,33.75,694.35,15.5
792,72,74,0,0,19.2,0,0.5,1,12.835,25.015,8.6,13.54,3.71,13.085,15.75,25.415,96.6,2.5,3.585,78.875,8,177.25,1,0,8,28.9,7.565,21.335,638.8,13.875
