GenotypeID,DaysToPollen,DaysToSilk,RootLodgingPct,StalkLodgingPct,LeafAngle,PoorGerm,PotentialPollenContamination,EarsPerPlant,CobWeightGrams,HundredKernelMassGrams,GrainPercentMoisture,EarLengthCM,EarWidthCM,EarFilledLengthCM,KernelRowNumber,KernelsPerRow,PercentFill,SouthernRustSeverityScore,LeafAreaIndex,LeafLengthCM,LeafWidthCM,PlantHeightCM,ExtantLeafNumber1,NodesWithBraceRoots,TillersPerPlant,ExtantLeafNumber2,BranchesPerTassel,TasselLengthCM,BranchZoneLengthCM,TasselSpikeLengthCM,TotalGrainMassGrams,Anthesis,Silking,StandCount,EarHeightP1,EarHeightP2,EarLeafP1,EarLeafP2,FlagLeafP1,FlagLeafP2,Ear.percent.to.Flag.P1,Ear.percent.to.Flag.P2,Number.of.leaves.largest.to.ear,TasselHeightP1,TasselHeightP2,FlagHeightP1,FlagHeightP2,TasselLengthP1,TasselLengthP2,Number.of.ears,Total.Weight.of.kernels..g.,Moisture....
11430,69.4026341761198,71.6295010733737,5.36415749992896,0.675404257665594,22.52842996965,1.00391925274721,1.00000160646632,0.997175497869575,10.9463056860945,29.7150178779892,7.93013561686628,12.4823050440793,3.86524909748217,11.601041289552,14.9657203475192,19.997387175896,92.6995467551134,1.56499934108785,3.73406172284535,78.2045618664749,8.62200765088397,180.020590501509,11.6303735282918,1.55931164387455,-0.007232199240041,13.6354038921153,7.18747278124915,36.6349375043665,10.7586388339159,26.0340000729608,551.988611104221,14.5400947374635,15.7341992358368,42.4472035447807,81.0112254263859,71.9305379356219,13.5165541494297,12.9468451464215,18.4685562218578,17.8780312838866,0.728684819661056,0.724051195884909,-1.75326613196638,211.738507622437,216.156798590353,170.322902252045,168.461462111396,41.4026445244304,47.5241830077791,3.97116819968038,378.276906794111,8.01564886176584
1538,65.4100346324279,65.9591878289583,-6.9692922930402,25.9248096217725,NA,1.00651187340786,0.965336563331018,0.993221010851996,10.1571422699607,25.5790731235759,8.581342903039,12.3190728793161,3.80056287792498,11.8348666800406,14.0039900246476,23.9375478855076,95.9738118293712,1.95095789643063,3.73621738539447,73.1459138754507,6.49438399708161,173.901014500374,11.8222630402977,0.992152618260248,0.338679637511398,14.2485518630098,6.95189461998184,32.8129113053991,7.45122254459976,25.0912544401512,512.187853751304,12.3066873059219,10.2651260233769,43.6666361813643,71.6030756434244,71.7301201093571,11.9516212477719,11.9228213070655,17.9188209139303,17.9150973469429,0.670147910305631,0.665599990871737,0.558636405943717,210.379023782435,205.759739157648,173.114133290489,172.697950458855,37.6375173580513,34.9875634832066,4.00626364374957,265.581121328138,8.80559999137396
2369,73.4809757597392,76.0636649624051,-3.62280188397045,1.1119945122938,22.3557686717789,1.00387295644269,1.03840623490867,1.12977281361482,18.50287681396,22.7143177105973,8.45693321714821,16.4283938570118,4.07787320348223,14.5777473850143,14.7215077074561,30.4640589315461,88.4343893657128,1.65178186614788,3.69133779060352,74.6609480059567,8.32914649798661,201.665185371966,13.9951426921751,0.969975704210497,-0.00272735471146369,15.2263375034908,5.68950246133391,26.9446645783303,6.0881720405406,20.7253461677663,792.811829525673,18.6740697819986,22.387766594051,41.7430861108198,101.291911986424,107.886251612475,13.8696624698861,14.4900652616324,19.4428630956704,19.9177995632214,0.71898653509065,0.726921160221759,-0.036033584160104,222.195658170328,216.366782865163,186.60728746211,182.024905503861,36.0171721804503,34.908042013031,4.00370093673723,342.752785670329,8.87791589519188
29MIBZ2,64.9357273806834,67.1485842250006,-1.32574885376791,-0.898464242269937,44.7777583455676,1.00278231706411,0.971566311586021,1.00265020678191,13.3969950877304,22.6263625997106,7.88808090798916,14.3326869966016,3.40795750787525,13.4176312070508,14.0654211053067,26.7274430610649,94.1107309052941,2.46002131275334,4.19757497848401,76.6937104813848,8.3564740776618,157.62552744727,10.5026045674201,1.335402841719,-0.00830206047910678,13.0791602708124,8.91500864625996,31.927027614781,9.44295115453113,22.4914267899186,605.394915561733,10.7327311347405,12.5510385722827,42.0143258064167,88.8900808764556,64.700686965675,12.8715698326291,11.498439482568,17.4496682644235,15.8976714631381,0.745324125028741,0.720445934468434,-1.78754776190485,191.160196687856,182.288493284985,154.298429958631,143.730227046568,37.1871922913788,39.9641989694883,4.0006547133612,268.819988540825,7.29277685567935
2FACC,70.2839295169973,71.3310997100265,61.6330873969825,-1.02284314666258,29.65873522856,0.99981631217771,1.03373793810714,1.01122470605827,15.7002384039778,29.821271129307,7.87942416986891,11.6597577369894,4.1427633180479,11.0806166279791,16.1386261618757,22.9603069114396,94.7122200017146,3.19474887401715,3.74329813798184,75.3789532107652,7.94971616758565,186.67008311261,13.4694679795563,2.00562181717869,-0.00651007071150871,14.7611599635696,6.97786302782529,28.2773891930944,6.38292393376725,21.9391326969854,615.780261642565,16.5367346390566,17.2314187584,41.9530137344924,83.6137718492091,95.6141453722005,13.8830349583993,14.4977183936999,20.8314622646124,21.0066258097571,0.66435429147082,0.688663830807962,-1.05481514997193,201.126703715232,212.008039585769,169.052131803895,179.871419132914,32.3051550737083,32.9662730939712,3.99973984010864,308.456221420481,8.58390565748116
2FADB,70.3441812573814,71.3449714891266,99.303312334686,-0.506044731031478,32.8179116717981,1.00358112908314,0.954713936275961,1.00100267175737,16.0729899011415,33.5264056857975,8.26372279902821,11.5392034076695,4.45837437380259,11.1750636182265,14.1363982668195,21.7466026367844,96.9185085124991,2.19383315422201,3.94434092200365,76.9499982958294,8.39133163649054,194.66960987233,14.0734531113044,1.56133291976071,-0.0119749704405243,15.6738828617026,7.16867762738045,25.9082309806771,6.21025414913965,19.544585900418,710.215110390403,16.915172017614,20.9183435212386,42.8445359665666,89.3471988436964,95.0095902582331,13.4607369005214,13.9972227216764,20.4890521946874,20.9906827477979,0.662198890589847,0.667326095355103,-0.560551879673676,201.19902839696,210.403273506768,172.812485047817,180.269588299763,28.6070245749788,30.8023296613938,3.99641211715701,250.343859800379,8.42284826487535
2MA22,68.6465083843353,76.4486478120217,84.6592422259731,-1.82557012362041,27.8829553707529,1.01481602336415,0.949127952053419,1.07157327219433,12.0053915665089,28.1634994538356,8.78000582042402,12.2066681762229,3.95575653373352,10.7997293188809,13.8090529869625,23.1494665364979,88.4721981305635,2.6218804090358,3.21330497951668,84.068040387986,7.47776992099198,174.232957549066,10.9047061311929,1.19621782665318,0.00243197121026246,12.6366266939936,4.7431888228329,34.2767503171194,8.05625627882413,26.6700654496569,649.364298267517,14.0168421975196,17.9796512315637,42.4059394107056,53.3932031753265,53.5080901607329,10.5048420883369,10.4950041361393,16.5052975971622,16.0753888370125,0.638059213796879,0.65631803071342,1.1337196529366,199.778540438826,201.814166769426,155.246396851131,157.000955430488,44.4664691918491,45.3242271551721,4.019164070187,270.8223989393,8.79314241031593
2MCDB,68.8671227995745,69.3364442732857,7.89478657216916,50.8602383981466,29.6033262946619,0.993391596707114,1.48888128964219,1.05778263984711,10.7650071748183,23.1509184575978,8.42248732952577,14.9297253871367,3.95920339159133,12.4725313276506,12.6218558998986,26.4283321173884,83.6764187206414,2.01200092901301,2.76461152575006,74.9952447733579,8.15705918385905,186.169128944956,10.6078131128472,1.03903641760216,-0.0137049557537457,14.4365447352656,9.63026229420759,30.4280393043548,7.37379464022849,23.3164819768008,593.879594663874,14.8747387271337,16.1267174727251,39.8904182773961,54.3426356213344,62.8781111039748,11.3409007399346,11.9480734754279,18.8289448416295,18.466858000562,0.607466804118517,0.650665959416359,-0.0582366352982895,232.05511181608,222.395238913209,198.994038916027,187.124891189851,33.534025196741,35.5426221950877,4.00841045262588,316.256032305543,8.29621763085703
33-16,77.6776524791227,80.9052657661062,-7.41258455341643,-0.621241191382526,23.2821025481785,0.998983673457812,1.06022198992494,0.881768403434146,10.124681403331,28.2453466533506,NA,11.0392977009559,3.39839175553927,9.39609739249541,11.2646064831764,19.4502409879252,85.6912907824275,1.0835116203251,2.98882918528546,78.2509795734147,8.43304980613428,196.651913455739,13.3697251058371,0.89994202615871,-0.00116829986227995,14.3129108015009,15.2784430551308,33.9092588378891,11.6151615887573,22.0196464747693,311.602124947666,24.2451229062378,31.2921896991701,40.847950987113,107.304006173442,NA,13.7270913870421,NA,20.6962561061184,20.0661372825098,0.66271024482024,NA,-1.93791456512096,227.687903253759,202.026885594606,189.942140131383,160.952882694218,40.1175740278085,42.8089978715398,2.02031699829056,97.4438439108819,5.43351439707206
38-11,81.5555077072715,86.1916626725507,68.9551546280273,22.6033067217328,34.7633552263426,1.00418660266646,0.973668182899241,1.06947299692174,14.4748545585076,26.3082137143504,6.30670298347648,13.3049843663999,3.53217304206355,7.66380486713737,9.59861721556637,11.7926541662015,57.6859416481644,2.27763803613468,2.50337072729071,91.899911285921,7.01512628555619,223.003197157834,15.4159564270752,2.18103106894707,0.161300581107623,15.6546457288092,11.9236275468684,38.6858968213277,12.458884235704,26.6367523147034,388.614324509154,24.600814888934,29.9402120734357,40.9133248573267,138.236196574136,126.720132232418,15.9240748552859,15.5283059621356,20.8328041247509,20.5494891639025,0.766708843295803,0.756379066802643,-2.425141359357,246.636677813886,213.262213651495,207.543637842003,183.886426842224,40.2648010944,29.6151805657422,4.0156654350059,244.325493834451,7.6061881150532
