Rep,GenotypeID,PI,Anthesis,AnthesisGDD,Silking,SilkingGDD,ASI_NEW,ASIGDD_NEW,Env
1,4F-306_108,PI198897,61,1263.15,66,1385.4,-5,-122.25,MI2020
2,4F-306_108,PI198897,63,1315.4,70,1462.2,-7,-146.8,MI2020
1,4F-306_108,PI198897,80,1554.8,84,1625.4,-4,-70.6000000000001,MI2021
2,4F-306_108,PI198897,79,1540.4,83,1605.15,-4,-64.75,MI2021
1,4F-306_108,GetFrom2021file,71,1472.5,87,1900,-16,-427.5,NE2020
2,4F-306_108,GetFrom2021file,69,1427,79,1699.5,-10,-272.5,NE2020
1,4F-306_108,PI 198897,65,1334.5,73,1527,-8,-192.5,NE2021
2,4F-306_108,EL19_6221,65,1334.5,69,1430.5,-4,-96,NE2021
1,B101,PI564852,71,1476.5,85,1757.95,-14,-281.45,MI2020
2,B101,PI564852,72,1488.75,83,1722.3,-11,-233.55,MI2020
1,B101,PI564852,80,1554.8,88,1725.55,-8,-170.75,MI2021
2,B101,PI564852,90,1780.95,91,1807.4,-1,-26.45,MI2021
1,B101,GetFrom2021file,77,1640.5,81,1760,-4,-119.5,NE2020
2,B101,GetFrom2021file,80,1730.5,84,1834,-4,-103.5,NE2020
1,B101,PI 564852,74,1551,79,1682.5,-5,-131.5,NE2021
2,B101,EL19_6624-1,72,1505,78,1657.5,-6,-152.5,NE2021
1,B105,PI594048,65,1364.9,70,1462.2,-5,-97.3,MI2020
2,B105,PI594048,63,1315.4,68,1421.3,-5,-105.9,MI2020
1,B105,PI594048,85,1645.95,87,1698.6,-2,-52.6499999999999,MI2021
2,B105,PI594048,90,1780.95,84,1625.4,6,155.55,MI2021
1,B105,GetFrom2021file,71,1472.5,77,1640.5,-6,-168,NE2020
2,B105,GetFrom2021file,73,1533,79,1699.5,-6,-166.5,NE2020
1,B105,PI 594048,68,1407,79,1682.5,-11,-275.5,NE2021
2,B105,EL19_6739-12,68,1407,81,1733,-13,-326,NE2021
1,C42,Ames23507,52,1051.1,55,1125.1,-3,-74,MI2020
2,C42,Ames23507,53,1073.8,56,1148.3,-3,-74.5,MI2020
1,C42,Ames23507,66,1260.45,74,1433.9,-8,-173.45,MI2021
2,C42,Ames23507,66,1260.45,79,1540.4,-13,-279.95,MI2021
1,C42,GetFrom2021file,56,1082,59,1165,-3,-83,NE2020
2,C42,GetFrom2021file,59,1165,62,1247,-3,-82,NE2020
1,C42,Ames 23507,53,1042,56,1115.5,-3,-73.5,NE2021
2,C42,MN20_1026,56,1115.5,61,1239,-5,-123.5,NE2021
1,CML_108,Ames27082,80,1652.4,85,1757.95,-5,-105.55,MI2020
2,CML_108,Ames27082,84,1742.2,94,1962.5,-10,-220.3,MI2020
1,CML_108,Ames27082,99,1970.5,103,2068.15,-4,-97.6500000000001,MI2021
2,CML_108,Ames27082,92,1830.15,97,1923.15,-5,-93,MI2021
1,CML_108,GetFrom2021file,84,1834,98,2162,-14,-328,NE2020
2,CML_108,GetFrom2021file,77,1640.5,79,1699.5,-2,-59,NE2020
1,CML_108,Ames 27082,87,1887.5,87,1887.5,0,0,NE2021
2,CML_108,EL18_2863,83,1792.5,85,1847.5,-2,-55,NE2021
1,CML_218,Ames27086,89,1834,101,2096.2,-12,-262.2,MI2020
2,CML_218,Ames27086,88,1812.45,98,2038,-10,-225.55,MI2020
1,CML_218,Ames27086,100,1994.55,102,2043.3,-2,-48.75,MI2021
2,CML_218,Ames27086,95,1879.25,104,2095.6,-9,-216.35,MI2021
1,CML_218,GetFrom2021file,91,1969,93,2022.5,-2,-53.5,NE2020
2,CML_218,GetFrom2021file,NA,NA,95,2082.5,NA,NA,NE2020
1,CML_218,Ames 27086,87,1887.5,84,1822.5,3,65,NE2021
2,CML_218,EL18_2903,87,1887.5,87,1887.5,0,0,NE2021
1,CML_322,Ames27096,80,1652.4,85,1757.95,-5,-105.55,MI2020
2,CML_322,Ames27096,84,1742.2,85,1757.95,-1,-15.75,MI2020
1,CML_322,Ames27096,71,1359.6,72,1386.65,-1,-27.0500000000002,MI2021
2,CML_322,Ames27096,108,2209.45,110,2249.45,-2,-40,MI2021
1,CML_322,GetFrom2021file,85,1857.5,86,1879,-1,-21.5,NE2020
2,CML_322,GetFrom2021file,87,1900,91,1969,-4,-69,NE2020
1,CML_322,Ames 27096,77,1629,80,1705.5,-3,-76.5,NE2021
2,CML_322,EL19_6461-23mix & EL19_5181-4,67,1378,80,1705.5,-13,-327.5,NE2021
1,CML_395,Ames29393,83,1722.3,NA,NA,NA,NA,MI2020
2,CML_395,Ames29393,93,1933.35,101,2096.2,-8,-162.85,MI2020
1,CML_395,GetFrom2021file,91,1969,95,2082.5,-4,-113.5,NE2020
2,CML_395,GetFrom2021file,93,2022.5,92,1994.5,1,28,NE2020
