GenotypeID,Yield_NEmean,Yield_MImean,Yield_NEpredicted
LH119,778.649432332236,473.250961867816,708.627363319104
IDS69,237.533393546008,271.759395607782,277.42892385828
H121,475.925490304924,411.22742035421,435.741910940831
LH57,504.490456785688,416.286736460758,538.569975646711
SD102,531.46566221406,564.220012447892,551.842122078249
WIL500,295.850053934467,385.379190829256,320.044218917796
W37A,656.338507901729,476.98570616242,582.81031480974
4554_INBRED,247.461215863364,286.730085259768,272.359216533703
PHG84,278.191675753907,308.860816707076,331.685000552355
R181B,454.3970424141,487.43268994381,533.935213736923
NC290A,275.464143325141,656.791901570108,332.245153006389
LH193,818.019556687978,575.121640306816,731.92310838164
Mo1W,509.436047044683,365.193121771776,507.099025761575
H105W,492.593419994704,413.25428693254,529.337854790192
DK8M116,579.768962709824,678.885424337942,556.209126030656
PH5HK,813.348363020172,817.891580854008,717.952838210153
CML_228,667.425363589545,526.0089223841,663.325466137228
PHG86,519.769305217929,530.445784357736,548.066888623781
W812G,472.276342137029,547.338409526444,493.342507569307
PHW17,698.022511108031,555.395840000118,683.401297169034
B14A,486.259322217038,511.865928820358,508.814078484885
DE2,626.060345022799,692.236337379612,549.595377777159
4722,277.544398305842,266.918935615006,323.027631297229
CO258,462.68147656094,623.800171299258,480.010575723967
DKPB80,655.894255653008,682.641146649464,644.6264986758
W9,419.808325037709,300.762385925898,457.042233630217
PHR25,455.847794789373,713.28278985989,462.680798137739
LH196,761.364970675406,608.356742008458,696.327283516907
LH164,526.106404684833,468.66258770721,526.807274398982
N209,634.290830257691,638.1843615632,620.725133698026
W32,544.887633943973,421.428302753026,535.667305281496
A12,317.341238868181,239.744686971502,401.491253303147
NS701,737.204477682896,538.166113992836,674.925571170625
NC250,445.465645808164,359.374130000694,451.282562804647
YELLOW_3-4,297.08419389422,342.59756327981,358.659564039358
B104,538.745553025082,607.488576131522,536.855491142457
Va52,429.617429180218,496.698397118216,473.289740692115
Pa880,349.9334572365,399.967807566106,387.721250609437
HP301,238.535732668498,192.305186537043,310.922547306589
Oh7,479.13373967907,500.546148392432,446.901272870395
W817G,634.810483872459,606.640124553766,591.627896810496
CS405,680.915284096353,620.678071264072,659.784100847973
CI_28A,423.516020095961,555.282764549878,459.804559235763
N523,502.428325037317,549.982477459768,515.410676508292
MS67,382.100993944107,336.715481937752,384.853197844914
MS142,493.646349254108,454.164390715816,463.586115321914
PHTD5,492.473326162244,455.320605562438,476.978671024553
GE129,258.402604990134,146.274280442355,310.474222601596
Pa468,353.994178196636,460.601866208394,416.450016105208
CO158,435.155350837593,433.2914577347,433.760409110029
Va35,478.711227146133,705.265521761332,525.103575274617
ND265,447.314268864433,428.096887822366,440.763627636003
Pa891,510.57251199905,549.907746672246,480.848876058542
H95,388.121320455649,325.79678024935,423.635885597902
LP5,631.363684261304,529.788496256306,629.170438179814
Hi26,139.016431283086,373.891900560508,265.563323505732
CH711-10,768.538942745691,526.933991278298,704.580161222069
Yu796_NS,527.165913656619,377.151902946876,548.103902408692
A680,544.079201893137,510.270990075646,578.201102413765
PHVJ4,466.89933254351,546.3239779973,502.0724648173
MS72,403.448717550004,424.291331701294,487.680923119432
A427,203.769705895804,457.372188836492,349.817651472904
KUNG-70,371.039403436183,425.606009232148,385.461277159795
CM37,308.219417892251,270.767145139262,322.176283882531
FBLA,596.552336541191,540.40131453577,609.839178827916
LH210,535.966492530897,580.088228632588,540.11214172173
Mo13,322.205358306775,293.242947566154,344.033307798185
MS224,509.469947072611,433.357413456956,477.321671237192
2FACC,615.780261642565,616.912442840962,625.624877979117
PHJ33,705.851739454495,542.43600295739,630.021927075436
R229,418.022676470739,474.477385598184,504.930776348836
PHBW8,897.773498602499,778.559024396318,751.184089531376
Tx303,465.356922083592,227.650928060636,389.71599317359
Sg_1533,330.319269178512,262.75060076514,349.562976668898
LH183,425.542578298264,529.551101721138,497.081917234997
N534,553.577576605769,546.566919113132,536.394628232758
IBB14,632.05436397608,462.900674485842,606.609979179369
B7,352.61568809277,279.681262319182,363.660212561677
LH208,370.245499360101,419.09975744451,462.224552974743
A374,474.252448381892,448.830259603552,477.330382406318
78551S,754.437776070133,588.983676258082,704.229373674741
KO679Y,633.631888798077,510.917174065772,570.510792971232
ND246,344.462361359519,327.716930490664,365.650895192677
A659,564.004795521721,567.550296822916,559.554983957037
LH60,657.791249055324,546.198056656648,616.182840778814
38-11,388.614324509154,488.650987668902,361.807540723748
N200,457.685402639363,481.383655426132,470.724623458291
PHG39,497.305437899543,525.501677608184,557.79487289753
LH220Ht,553.688753315225,373.321551914268,561.326649536423
Bei_10_=_North_10,552.479411380299,661.460008944726,595.965377231394
NC302,375.624192565703,412.121934587522,412.099697578924
A572,520.986037519788,398.897538661524,498.039785778155
OS602,531.551298442347,500.462015475936,555.932057001098
F115,284.259576856836,222.922876294552,326.862727490493
Mo24W,561.685141712637,311.949215289196,466.889723068044
PHN82,656.732874422934,812.458585077304,628.489131296683
N28Ht,615.935775777348,652.611241340404,575.560352103893
H5,454.425682045846,493.707167722466,475.507992173685
PHN11,744.927902189649,519.415684447896,646.248663914327
B108,447.904677191917,481.132945663822,468.200855317908
6F629,469.062569082595,416.913436099026,520.776649561388
LH82,520.88350978369,577.340618911564,513.443197487225
NC294,553.819445482487,601.274938090128,542.001729948076
LH132,663.894220975469,682.937275142384,642.344026252837
MS106,463.870269371428,358.172446624282,454.06203334343
ICI_193,721.589702484296,660.799386711962,665.891439504771
2369,792.811829525673,685.505571340658,715.239783999513
LH194,516.950975610031,578.438124200734,543.287988026117
11430,551.988611104221,756.553813588222,593.259026354669
PHN41,657.411844896998,560.383562377752,618.061352614756
W602S,415.273220799207,359.786644870078,463.011160044575
A682,700.579356022481,550.481540783172,645.890131959027
LH191,841.706840151083,864.769637547122,739.165489020862
IDS28,76.5073408732172,264.728994981814,213.801419358942
A797NW,194.18701807432,159.318166690324,280.429754422208
DE1,624.476648235073,507.789490175982,564.351656541185
PHFA5,580.965034012976,605.879963306672,543.2151354754
LH186,733.502279782056,717.954398659578,669.257435625205
4F-234_BX_4,455.774814705223,532.538959823022,472.780173461597
MS223,536.292597372876,496.832604175874,541.765164282744
A654,414.396174385071,432.219924705628,428.870848061607
CQ702RC,573.937085097107,452.30208403346,574.257498182686
NKNP901,716.938638297531,623.12338279574,681.071995315063
W810G,282.646245113277,458.580746630258,366.929550549281
MS71,522.978636001002,326.225096964698,552.2915612988
W552,488.090202410556,494.67331465681,495.754810825655
NK794,591.157531209026,623.020936547728,584.47355335292
PHZ51,488.257544506384,465.194627650844,516.383512879445
