GenotypeID,Yield_NEpredicted,Yield_NEmean
11430,634.828252732312,554.45
1538,515.935283049113,500.6
2369,622.699379808757,794.6
29MIBZ2,576.221775973382,608.25
2FACC,625.871670227332,605.85
2FADB,598.838283460176,711.7
2MA22,570.924355377443,633.9
2MCDB,579.373264264918,594.1
33-16,469.412406659351,318
38-11,480.730166623692,381.45
3IJI1,565.330833008421,713.5
4554_INBRED,325.56066580711,263.9
4578_INBRED,446.294954297759,482.3
4722,407.322709476165,275.05
4F-234_BX_4,454.064846197851,460.7
4N506,573.158605970431,675.65
52220,381.863602741531,377.95
6F629,543.366463343072,476.8
6M502,538.373139312715,716.15
6M502A,590.001978320566,514.2
764,541.649317964264,454.75
78551S,593.818625907961,771.65
787,507.158443641568,694.35
792,577.622624882166,638.8
793,624.87271198435,609.35
80-2,406.403594548211,395.05
87916W,590.758189737962,541.55
904,512.959968500629,562.4
911,520.17110283999,558.55
912,518.138554410282,546.3
91IFC2,547.05866986364,550.5
A,510.962666438014,319.95
A12,461.065932953668,324.5
A15,399.627956297579,320.4
A155,432.931284173335,417.3
A239,499.851167716801,533.25
A258,481.794756335913,457.25
A305,441.275415527941,518.95
A321,425.27632599839,567.05
A322,420.09059450908,647.3
A334,448.991110403388,475.7
A340,433.405649769942,436.9
A344,375.960905527779,342.4
A374,483.355441979484,495.1
A3G-3-3-1-313,368.319975555211,323.2
A401,447.664827267417,523.05
A415-1-3_INBRED,467.202620310695,278.35
A427,453.954802797383,211.35
A508,498.987157270903,372.95
A548,462.489750121425,458.05
A554,468.222748623543,492
A556,445.408256759285,472.95
A572,416.209280535606,517.5
A619,570.91882522467,566.5
A627,487.304754951989,529.85
A632,552.981264320964,588.55
A634,523.141410345634,403.55
A635,498.562438808655,495.95
A648,488.449232472419,575.55
A649,427.09141988176,472.9
A651,389.767205939393,348.8
A654,465.749591513505,418.8
A659,503.339183694263,573.35
A661,458.017537500864,496.65
A662,439.725745370956,468.75
A663,325.568467321162,425.55
A672,531.621515641512,569.1
A673,406.226964413801,385.15
A674,430.238589451547,482.05
A679,624.534734209609,742.7
A680,689.992068868469,554.4
A682,506.731146969072,692.85
A71,483.60258826969,561.5
A73,466.410232869508,559.5
A797NW,478.324789840716,199.7
A96,437.417422898717,386.9
AM0776,586.423755534642,535.7
AQA3,520.046908587749,554.05
AS6103,573.87559026781,614.4
AusTRCF_306238,506.364578066501,658.95
B-18_INBR.FR.SUPERGOLD,443.522963855344,325.1
B-28,454.830596311331,306.95
B10,511.344666253897,522.15
B101,467.753156858965,436.35
B104,515.206015794541,539.2
B105,452.041590050067,502.1
B106,496.296912136137,541.7
B107,551.18164121586,550.55
B108,498.231500695936,460.3
B109,629.737261539594,686.2
B14,570.28965375573,435.95
B14A,565.070307965881,491.5
B164,496.764403500324,595.85
B37,525.670968671418,438.35
B42,503.760011699861,335
B46,469.583541408097,450.15
B52,444.96785999108,316.1
B57,454.336467089205,569.7
B64,544.100697921436,354.7
B65,517.234426602473,457.4
B66,529.113025009963,531.85
B68,563.267528424641,332.1
B7,521.46719677509,360.9
B73,670.840527777734,747.6
B73Htrhm,683.183814930605,648
B75,529.637397255616,553.4
B76,489.350696519697,528.7
B77,537.261272189403,446.15
B79,525.527663133316,448.25
B8,471.493040571,658.55
B84,539.140260783597,534.25
B85,507.789909415114,560.2
B87,512.706414521543,491.2
B88,482.925165984487,152.5
B90,468.796744585307,491.15
B91,512.295971497138,320.8
B97,439.754397938474,626.615909090909
B99,480.499660824104,476.2
Bei_10_=_North_10,445.298736916022,551.35
C102,527.026014392551,514.55
C103,610.385319003647,531.5
C123,495.558226362043,570.5
C15,335.011042127723,315.6
C49A,407.70590435632,269.85
C68,400.679092694568,383.2
CA-4,287.3584269055,75.9
CG10,405.496430973013,505.6
CH157,465.356733758022,659
CH701-30,496.449359583415,537.9
CH711-10,549.049210487577,767.65
CH753-4,489.622096984495,480.85
Chi-tan_120,458.124979485381,485.05
CI_187-2,447.14587349366,442.2
CI_21E,496.254965091639,521.65
CI_28A,490.797454020834,437.8
CI_3A,521.077450909971,361.2
CI_40H,496.183705102743,679.35
CI_540,551.954778552508,26.4
CI_91B,392.768847700715,828.4
CL17,407.055946444678,43.2
CM105,417.097437760266,534.65
CM37,387.46703641628,314.6
CM7,389.644707915911,309.75
CM99,388.092723297097,401.85
CML_108,453.780736597939,233.1
CML_154Q,450.009147099777,528.05
CML_218,508.164343179569,207.75
CML_220,425.193985727903,349.9
CML_228,455.036680797127,667.05
CML_322,455.246492195717,547
CML_323,413.856931641999,297.7
CML_91,552.48566836608,318.75
CO106,410.850123843767,317.35
CO117,383.466532114339,216.3
CO125,453.156036359448,188.3
CO158,407.563347847341,427.7
CO192,419.115975590803,393.9
CO245,351.831460805657,335.95
CO255,424.465857779913,473
CO256,404.603351916062,226.25
