GenotypeID,Yield_MIpredicted,Yield_MImean
11430,755.480392861067,798.7
1538,659.214029489128,573.8
2369,752.101421975988,699.9
29MIBZ2,704.104151681564,581
2FACC,762.23590647168,622.1
2FADB,746.771283588259,522.1
2MA22,706.317613358811,564.6
2MCDB,692.606298399592,630
33-16,587.361794738862,185.6
38-11,628.887029317966,504.5
3IJI1,681.593427212661,632.7
4554_INBRED,468.646233000653,299.5
4578_INBRED,606.934911434768,578.3
4722,531.087607573081,310.3
4F-234_BX_4,598.726541276969,495.9
4N506,717.137064653249,570.2
52220,513.778835097353,295.5
6F629,660.890408067892,418.4
6M502,651.668942619158,503
6M502A,706.461005776516,654.1
764,659.056468174787,415.3
78551S,722.504331964572,575
787,628.821077399406,576.2
792,697.260219235674,608.7
793,761.152457250905,591
80-2,528.910864176761,385.9
87916W,721.97776859784,358.1
904,634.861882613595,596.5
911,646.206721987153,550.9
912,650.121100402766,683.5
91IFC2,679.384420739124,490.3
A,638.091682151496,216.3
A12,575.616476341514,250.7
A15,523.705848381875,320.7
A155,567.910738282151,375.7
A239,615.284221446123,399.9
A258,627.871603568035,300.7
A305,564.655245858633,399.8
A321,566.531095897747,282.3
A322,554.873594062566,454.1
A334,576.118495692091,381
A340,556.164804391166,330.1
A344,524.486615763697,347.7
A374,591.911698118862,492.3
A3G-3-3-1-313,494.425433282992,348.6
A401,573.444278763429,400.6
A415-1-3_INBRED,587.983224093003,470.5
A427,581.051313945984,462.6
A508,608.771274174884,340.6
A548,573.350955496994,290.9
A554,585.015743029804,276.8
A556,597.6281839212,428.6
A572,534.411069164765,427.9
A619,680.176377376486,519
A627,602.610666739519,365.9
A632,698.921749895189,374.6
A634,660.645810461828,458.8
A635,648.408230766395,381.7
A648,629.57607701568,415.9
A649,561.522553128821,250
A651,521.479136554491,304.8
A654,606.466056842578,501
A659,612.452761718194,523.3
A661,596.68578640264,517.6
A662,576.632639608207,496.4
A663,444.158741126844,449
A672,658.460342771715,344.8
A673,522.721935187849,391.1
A674,544.61316262587,471.4
A679,744.208075126033,660.6
A680,806.423318264264,559.2
A682,644.39929322873,597.8
A71,624.52205652029,319.3
A73,612.21239244138,474.6
A797NW,616.777357222192,159.4
A96,566.473003655489,368.6
AM0776,710.759702194928,546.4
AQA3,659.072055082392,556.7
AS6103,701.420903991644,581.4
AusTRCF_306238,642.12007457332,674.3
B-18_INBR.FR.SUPERGOLD,578.780249115209,185.7
B-28,609.638586638247,271.7
B10,664.338852409224,280
B101,596.496616549667,189.6
B104,637.78510150903,631.6
B105,580.447004768916,776.9
B106,611.989423713716,260.2
B107,687.25115696567,572.7
B108,643.672544128882,479
B109,753.0194283452,853.4
B14,698.31372858324,400.8
B14A,713.464868948843,533.9
B164,635.04326663681,395.2
B37,673.646487141154,497.4
B42,631.399319676177,488.8
B46,592.175895873383,486.9
B52,567.893396964354,428.8
B57,589.345713077747,531.1
B64,696.491603023195,454.9
B65,653.47272647673,453
B66,676.347191363831,559.7
B68,697.84143823665,457.8
B7,656.750801208404,276.8
B73,789.196427460617,453.1
B73Htrhm,806.873993085808,605.9
B75,646.678398103555,842.3
B76,614.568454990105,626.5
B77,686.355247674362,468.9
B79,652.569446791391,499.1
B8,605.524737701001,550.8
B84,655.575637900971,582.7
B85,626.833418259681,449.8
B87,628.134468342012,409
B88,624.772476249178,45.6
B90,594.858911919863,479.6
B91,634.355908831973,448.5
B97,574.204112997307,716.3
B99,602.081364392881,512.9
Bei_10_=_North_10,591.053128966749,650.5
C102,646.244938927503,333
C103,750.96384870784,619
C123,644.639945863704,553.5
C15,466.655449159667,353
C49A,545.924215946782,288.2
C68,508.727358954861,402.4
CA-4,422.820449335887,217.9
CG10,549.223149861965,516.3
CH157,576.258450079206,246.2
CH701-30,629.100570743033,561
CH711-10,667.821650984589,560.8
CH753-4,618.176998175765,392.6
Chi-tan_120,585.443054588624,421.8
CI_187-2,598.169135325211,510.4
CI_21E,614.655912905267,615.6
CI_28A,628.619661070744,555.9
CI_3A,677.268706691254,197.2
CI_40H,602.331069356293,412.6
CI_540,682.885441463144,386
CI_91B,524.317979549281,666.3
CL17,544.073398155038,169.3
CM105,546.410935780715,374.6
CM37,509.145113323284,256.3
CM7,498.423853963387,327.7
CM99,510.3401933014,330.6
CML_108,593.469581385202,34.2
CML_154Q,603.675212603801,390.4
CML_218,623.055121364474,71.6
CML_220,573.737899669584,395.9
CML_228,585.417581187885,507.8
CML_322,581.547497100885,330.2
CML_323,537.92878878203,394.1
CML_91,712.502945409227,331.5
CO106,534.495599553087,551.2
CO117,491.471669173665,347.5
CO125,565.915995061968,391.8
CO158,517.459328346248,502.7
CO192,538.009772371573,256.5
CO245,457.026496697032,395.9
CO255,541.046724410733,434.9
CO256,525.141393770572,198.1
CO257,552.489750982815,314.6
CO258,736.300377060729,596.1
CQ702RC,707.715009221589,473.2
CQ806,687.478876977307,612.8
CR14,585.105366559955,457.6
CR1HT,614.074260975775,415.8
CS405,703.695826386646,643
CS608,619.625550338858,462.2
CSJ3,521.962537827888,335.7
DE1,696.283379111389,516.4
DE2,708.496480434346,687.4
DE3,630.656036053828,591.6
DE4,664.531110706879,469.6
DE811,702.07174290921,385.7
DJ7,792.431684648537,520.5
DK3IBZ2,635.215392469524,448.1
DK3IIH6,679.335923411187,630.6
DK4676A,697.861209181267,459.5
DK6F545,728.504152273875,690.9
DK78002A,744.739581279369,590.1
DK78010,701.101596057537,415.6
DK78371A,692.207629144249,930
DK83IBI3,687.555969073965,603.7
DK84BRQ4,714.627376988305,603.3
DK84QAB1,698.4162930696,659.4
DK8F196,726.946024896175,652.2
DK8M116,667.252195260314,694.2
DK8M129,673.210819029454,833.7
DKF274,690.040765233566,639.1
DKFBHJ,727.876173425167,361.7
DKHBA1,769.0861093546,642.3
DKIB014,728.140561992008,420.4
DKIB02,681.203385483529,477.1
DKMBNA,667.645847704452,482
DKMBUB,701.229331167728,657.3
DKMBZA,718.446424536968,461.1
DKMFD-13D,696.778708538716,604.2
DKMM402A,709.924522028884,653.6
DKNL001,738.71460745769,554
DKPB80,772.904679455808,707.8
DKWDAD1,750.005639795711,635.7
E8501,642.891127637371,606.7
Eng-Li_Chih,526.539370112271,428.8
EP1,516.355677268162,312.4
F115,508.108417718437,243.6
F118,713.393661977891,552.1
F2834T,546.662642484752,389.7
F42,750.108027765007,410.4
F7,470.406753383621,244.6
FBLA,628.707554056345,514.2
FBLL,707.021909802614,394.5
Fe,596.245749538973,328.6
FR19,622.115127187983,384.2
G22_T122,480.274235463323,255.5
G3_T5a,473.869180552665,158.8
GE129,616.023303992672,183.4
GE54,612.744332201365,450.4
H105W,628.234067125651,431.1
H110,566.808104683443,396.2
H113,574.242531915091,302.1
H114,602.044206226623,480.9
H121,587.466491448253,409.2
H122w,731.263077851879,560.7
H124w,645.645264901888,412.7
H14,613.617669597662,121.4
H49,636.741410536642,775.8
H5,618.847670275352,492.8
H52,602.53085959789,180.6
H71,585.597932805671,569.7
H84,636.662093864246,759.8
H91,664.333643139095,413
H95,605.512414770113,300.9
H99,594.06725827239,284.9
HB8229,650.363268941517,764.1
Hi26,496.516128179194,403.4
HP301,518.213816258227,211.5
HP72-11,634.170183012291,289
Huanyao,531.082960071524,407.2
Huobai,559.890022814087,255
Hy,663.867548497304,635.9
I29,487.099427731131,220
IA2132,487.055975878691,229.4
Ia453,628.745570036235,254.4
Ia5125B,706.791104063042,288.4
IBB14,683.187141080954,526
IBB15,638.521788995599,524.8
IBC2,733.533873842421,589.9
ICI_193,675.618164621699,646
ICI_441,777.524043523901,613.8
ICI_581,720.021379637972,574.6
ICI_740,671.669064177187,582.7
ICI_893,483.294705722886,589.3
ICI_986,473.852311703077,626
IDS28,488.801819171373,253.9
IDS69,557.945030121657,302.9
IDS91,546.856151547292,310.9
Il14H,582.498135390282,352.1
Il778d,486.789225756339,498.2
INB_101LFY/LFY_(A632_X_M16_S5),582.887040479074,455.3
INBRED_100,530.389828687241,80
INBRED_109,616.82311674996,446.5
INBRED_141,713.881039053611,454.7
INBRED_2-687,505.961681316679,260.1
INBRED_305,528.709190982038,308.7
INBRED_309,509.371993842805,450.5
INBRED_321,556.98626087024,228
J47,588.752735074714,641.5
J8606,704.405048887415,603.2
K148,558.94198961741,264.5
K150,599.543094318252,357.4
K155,657.331857679868,438.4
K201,627.884862802,394.9
K4,584.937758311782,308.1
K41,598.664209996305,306.3
K47,502.926227134262,207.5
K55,587.22407666804,315.1
K64,627.409759763025,683.9
KO679Y,603.66057786714,502.4
KUNG-70,536.88644993896,465
Ky226,570.467945625752,449.6
Ky228,638.168380009762,368.9
L_127,636.76922040062,477.6
L_135,578.831417958806,427.6
L_139,683.12100618604,720.4
L_155,767.036853184062,554.5
L_289,790.575202112246,143.2
L222,696.212148230841,421.7
L317,766.976411927127,187.8
LH1,743.730930163662,576.9
LH119,618.678324390411,484.7
LH123HT,654.113493781242,471
LH127,668.08001425296,599.5
LH128,734.161427134326,589.9
LH132,669.232628267672,653.7
LH143_(Maintainer),636.130545760331,430
LH145,683.851709785094,345.3
LH146Ht,621.665469017903,391.4
LH149,546.069432592512,543.8
LH150,711.015687596782,526.6
LH156,689.977138199902,564.8
LH159,756.549928358164,630.2
LH160,651.148033498745,469.8
LH162,633.980205398376,590.9
LH163,679.40503631349,455.6
LH164,625.411242064936,505
LH165,525.053428785363,334
LH166,745.154790835849,469.8
LH167,697.511949359588,549.8
LH169Ht,604.42180070713,560.3
LH172,686.702218869598,524.1
LH175,632.588758936337,583.9
LH181,697.062219628775,786.3
LH183,690.664757983911,487.3
LH184,743.91574405554,602.4
LH186,719.902189484882,768.1
LH188,770.619401376087,605.6
LH189Ht,742.337440266958,622.2
