GenotypeID,Yield_NE,Yield_MI,predicted_yield
11430,551.988611104221,378.276906794111,587.971339420598
1538,512.187853751304,265.581121328138,490.408744028364
2369,792.811829525673,342.752785670329,656.571090620972
29MIBZ2,605.394915561733,268.819988540825,593.010343352641
2FACC,615.780261642565,308.456221420481,627.402892781383
2FADB,710.215110390403,250.343859800379,633.201110651371
2MA22,649.364298267517,270.8223989393,592.418465484138
2MCDB,593.879594663874,316.256032305543,583.072399954009
33-16,311.602124947666,97.4438439108819,414.737155549941
38-11,388.614324509154,244.325493834451,421.728627193941
3IJI1,712.04858096077,292.395920098052,600.011030526921
4554_INBRED,247.461215863364,143.365042629884,335.005000036361
4578_INBRED,489.156665709437,285.302374746047,461.35462663925
4722,277.544398305842,133.459467807503,336.638470547168
4F-234_BX_4,455.774814705223,266.269479911511,436.381514261339
4N506,661.357194900421,286.950002898384,572.166731062072
52220,362.205814644176,169.189925038272,420.191744807372
6F629,469.062569082595,208.456718049513,519.657348005535
6M502,721.800684311843,262.541283496378,590.928572291597
6M502A,501.419016493125,366.610239414776,569.281513397642
764,460.392491223736,209.047018208054,557.841387050803
78551S,754.437776070133,294.491838129041,648.793464841751
787,695.452876427666,262.841594782394,552.202153599964
792,648.749151304596,308.142720514995,590.763071944004
793,616.977647009346,309.713808451225,613.529660039011
80-2,405.900832499366,190.905059562974,404.087222918826
87916W,540.522780212937,168.913646291441,567.46299183709
904,553.412135414449,263.559933165451,564.780485601424
911,538.335166028837,267.904284847015,560.099640226853
912,541.028451105582,332.020097209376,555.576486393541
91IFC2,550.844767403477,229.578968257396,566.513270723901
A,320.940320340872,112.697456864296,447.738300680064
A12,317.341238868181,119.872343485751,392.937908137937
A15,295.445931494551,182.110924765766,370.130341875486
A155,414.356050543409,192.071971825618,437.096526757265
A239,530.340606097819,205.455545775674,505.387587163948
A258,454.044020732005,170.948662292357,474.095041005314
A305,515.737642172285,218.689450532146,475.974068845275
A321,550.075771092533,141.297087757334,472.158024135343
A322,652.124540929557,206.378270502781,512.371807184989
A334,471.987109459266,195.077512590928,465.452186978559
A340,449.402895650939,156.729861549203,438.430330462881
A344,354.630839918169,164.375911225472,402.787617685851
A374,474.252448381892,224.415129801776,464.86007745359
A3G-3-3-1-313,339.356920213654,169.907336908963,373.725187847494
A401,518.460356488427,193.392191027392,485.772253463922
A415-1-3_INBRED,266.853011432679,212.544525742032,356.877048063442
A427,203.769705895804,228.686094418246,366.016170687358
A508,360.171724170431,142.727972044528,442.20867733145
A548,454.072390040698,159.100005011817,458.729231529175
A554,488.504055030878,187.41758807842,479.341666609602
A556,472.46191774522,185.553690648299,485.850266900165
A572,520.986037519788,199.448769330762,449.58603401454
A619,558.150102609466,249.776722092163,544.604086590998
A627,528.67646615185,191.628944103371,499.059601651785
A632,585.153649782213,198.821728767343,547.534678711844
A634,411.352633493786,225.181128503964,487.319671920877
A635,496.060461143234,159.037488410851,493.90393948838
A648,577.80379334837,196.955966725843,519.666185982681
A649,459.62884679091,127.401149153025,459.610557063328
A651,346.92619543978,144.12241974551,404.614523971429
A654,414.396174385071,216.109962352814,473.101681855908
A659,564.004795521721,283.775148411458,504.176884591773
A661,495.037510818688,218.305238989186,464.204943626864
A662,462.41441506191,226.856273719361,457.552706674719
A663,414.71142500532,215.467550647346,377.980770029817
A672,548.63811696298,210.12873950975,527.260897500051
A673,389.310208296625,196.212384808532,407.846877749751
A674,468.775957955637,232.932521389986,432.417875073791
A679,743.794450427267,320.025392900745,624.50985732374
A680,544.079201893137,255.135495037823,633.299795612057
A682,700.579356022481,275.240770391586,555.590367405667
A71,543.113239110333,161.334195068743,495.726130942275
A73,553.127311896883,240.319302166569,505.396370184217
A797NW,194.18701807432,79.659083345162,401.150316852808
A96,372.491715182789,180.648147639081,439.837352856558
AM0776,532.269447056757,244.381023372534,571.194511116125
AQA3,545.351111157954,243.350589458482,527.374979448722
AS6103,618.569480319531,288.528478669611,588.195321386131
AusTRCF_306238,651.41474071267,316.80931679077,551.510446336752
B-18_INBR.FR.SUPERGOLD,336.859946179551,97.7261248661933,416.759962599974
B-28,295.055376389317,144.426504067402,395.202512130233
B10,512.702001526736,133.798580125537,475.729374230369
B101,432.59344152339,90.8431326618245,454.912798762816
B104,538.745553025082,303.744288065761,520.655076710725
B105,510.010710032842,380.853925351673,470.861621172898
B106,531.466494504211,144.008647558239,489.822147581535
B107,553.451024803623,277.213885514742,536.967134490149
B108,447.904677191917,240.566472831911,455.059710808028
B109,680.531341554641,394.226595016221,609.155007188893
B14,455.288475208716,188.345495842788,540.71169943891
B14A,486.259322217038,255.932964410179,541.330679833018
B164,598.470368366195,190.47159917583,511.589351755618
B37,425.676183429043,250.885857392659,513.253137145137
B42,331.235411279298,237.208669200968,426.003508538868
B46,446.29698414645,268.237188249749,445.337497822144
B52,319.937485456078,201.910227331304,404.225220241369
B57,558.422383474394,223.618596482915,492.614436230329
B64,337.738051763374,236.528522984432,494.003114333235
B65,461.422693958524,251.664924535186,506.999619504845
B66,521.30135467559,251.388175147303,517.327437257827
B68,327.981282390881,237.302066302889,479.044102195068
B7,352.61568809277,139.840631159591,433.464094995465
B73,732.181488806887,241.053105396464,649.73258696759
B73Htrhm,643.508988051478,316.411817931753,646.889231649568
B75,548.952217122139,394.801586076043,536.160750223771
B76,516.856977292981,304.05638608163,507.40592576825
B77,442.888310943902,210.142761754379,473.092089743704
B79,447.901448834746,236.081520055027,508.796252270104
B8,652.686680113388,235.791984113467,517.490166024012
B84,524.615349057283,260.796651382753,533.880799697828
B85,537.51712844338,225.787972371535,511.75924098083
B87,484.593897829437,224.703772499498,505.905736062895
B88,151.975772208724,18.6593647729669,360.164837799702
B90,489.479774085675,239.789035724634,462.8366744138
B91,326.159544993596,198.089971435335,468.814843951972
B97,622.16628315375,353.049570946386,490.081008560637
B99,466.343753737206,239.025850168968,444.840005456094
Bei_10_=_North_10,552.479411380299,330.730004472363,470.631382419183
C102,508.38118018677,179.196834740621,476.515935561697
C103,528.232247713312,335.305490764891,581.757022003849
C123,561.131582239255,286.4093238728,532.157946485233
C15,329.37672025858,179.89717977548,355.096902199419
C49A,265.218365598784,102.032139705518,369.483475537169
C68,372.507624479368,185.674896309996,363.072323198502
CA-4,86.5787111261814,85.3346191502673,272.865872343806
CG10,505.122099781489,244.568327446457,475.4809083455
CH157,644.428955851599,121.20787692873,519.839329672974
CH701-30,525.611188587553,287.104688458852,504.569674517128
CH711-10,768.538942745691,263.466995639149,596.126150085893
CH753-4,479.685898926119,216.537104546962,498.00174646014
Chi-tan_120,479.472452273883,201.453989942568,469.289481611176
CI_187-2,440.118850157426,225.626438445565,454.31018488395
CI_21E,509.35374493629,290.038935531661,480.295109702469
CI_28A,423.516020095961,277.641382274939,452.899377315425
CI_3A,386.905588734036,76.4388280041626,453.581034530227
CI_40H,679.631769696629,217.114069576999,530.866105028495
CI_540,10.420041722471,161.665085078889,341.4365589816
CI_91B,781.723115804604,300.849871536184,534.33679405421
CL17,17.5016858600324,77.5934580936693,414.571127157566
CM105,537.408451426232,181.027853244674,466.063427896096
CM37,308.219417892251,135.383572569631,417.887276853742
CM7,301.271280890357,154.128987541518,410.049690231171
CM99,396.699901986101,139.102104386552,414.588325745108
CML_108,248.563294351898,4.73364498425957,364.724713236344
CML_154Q,510.340098361942,202.087364270888,436.407877955367
CML_218,207.898238934168,10.1806996642835,346.983234343823
CML_220,350.644725033174,180.476388347716,397.871169154924
CML_228,667.425363589545,263.00446119205,508.711121650561
CML_322,539.511579489321,168.252511137153,473.464050659986
CML_323,303.937032297317,190.424935858575,381.704736385586
CML_91,316.770230195643,152.825711091186,424.464672182425
CO106,306.020146379511,255.615980315905,390.039471385985
